product_id,sku,product_name,category,subcategory,brand,unit_cost,list_price,weight_kg,list_margin_rate,order_lines,units_sold,units_returned,gross_revenue,discount_amount,net_revenue,refund_amount,cogs,net_shipping_cost,contribution_margin,avg_discount_rate,unit_return_rate,contribution_margin_rate,margin_rate_vs_list
P00131,HOM-COO-00131,Mokkan Cookware 958,Home & Kitchen,Cookware,Mokkan,73.47,107.23,2.78,0.3148,164,211,13,22625.53,1277.76,21347.77,1236.94,14694.0,617.29,4799.54,0.0565,0.0616,0.2248,-0.09
P00181,SPO-CAM-00181,Ellery & Co Camping 922,Sports & Outdoors,Camping,Ellery & Co,133.01,235.91,7.75,0.4362,157,197,30,46474.27,4614.39,41859.88,6419.45,23143.74,1199.51,11097.2,0.0993,0.1523,0.2651,-0.1711
P00002,APP-KNI-00002,Brightpath Knitwear 832,Apparel,Knitwear,Brightpath,38.86,81.68,0.49,0.5242,174,224,41,18296.32,1848.44,16447.88,2922.68,7422.26,364.31,5738.63,0.101,0.183,0.3489,-0.1753
P00068,FOO-SAN-00068,Corda Sandal 503,Footwear,Sandals,Corda,41.31,106.66,1.61,0.6127,167,202,57,21545.32,1548.20,19997.12,5639.33,6403.05,468.17,7486.57,0.0719,0.2822,0.3744,-0.2383
P00024,APP-OUT-00024,Brightpath Outerwear 533,Apparel,Outerwear,Brightpath,15.58,35.49,0.60,0.561,146,175,47,6210.75,536.50,5674.25,1548.46,2087.72,106.81,1931.26,0.0864,0.2686,0.3404,-0.2206
P00043,APP-DEN-00043,Puresel Denim 158,Apparel,Denim,Puresel,37.81,107.20,0.73,0.6473,142,171,38,18331.20,1645.46,16685.74,3561.93,5369.02,376.32,7378.47,0.0898,0.2222,0.4422,-0.2051
P00082,ELE-AUD-00082,Puresel Audio 806,Electronics,Audio,Puresel,378.57,477.87,4.35,0.2078,158,191,19,91273.17,6755.39,84517.78,8454.86,67385.46,1004.44,7673.02,0.074,0.0995,0.0908,-0.117
P00155,BEA-FRA-00155,Latitude 54 Fragrance 534,Beauty,Fragrance,Latitude 54,16.28,44.92,0.42,0.6376,162,184,11,8265.28,775.39,7489.89,458.35,2914.12,136.28,3981.14,0.0938,0.0598,0.5315,-0.1061
P00012,APP-KNI-00012,Mokkan Knitwear 988,Apparel,Knitwear,Mokkan,40.19,88.93,0.43,0.5481,183,239,74,21254.27,2051.17,19203.10,6046.49,7274.39,399.85,5482.37,0.0965,0.3096,0.2855,-0.2626
P00116,HOM-BED-00116,Latitude 54 Bedding 190,Home & Kitchen,Bedding,Latitude 54,25.83,38.00,3.43,0.3203,155,202,14,7676.00,843.99,6832.01,444.29,4933.53,293.0,1161.19,0.11,0.0693,0.17,-0.1503
P00190,SPO-CYC-00190,Puresel Cycling 999,Sports & Outdoors,Cycling,Puresel,105.15,189.90,6.04,0.4463,162,202,34,38359.80,4037.57,34322.23,5596.78,19137.3,856.16,8731.99,0.1053,0.1683,0.2544,-0.1919
