customer_id,month,company_name,segment,industry,region,acquisition_channel,plan_name,billing_period,tenure_months,mrr,licensed_seats,active_users,seat_utilization,sessions,sessions_per_active_user,feature_adoption_score,support_tickets,csat_score,health_score,risk_tier,risk_tier_rank,churned_within_90_days
CUS-00001,2023-01-01,Basalt Peak Health,SMB,Logistics & Transport,North America,Marketplace,Growth,monthly,0,1665.0,37,18,0.4865,207,11.5,41.1,1,3.41,45.5,At Risk,3,1
CUS-00001,2023-02-01,Basalt Peak Health,SMB,Logistics & Transport,North America,Marketplace,Growth,monthly,1,1665.0,37,16,0.4324,247,15.44,47.7,3,3.76,44.7,At Risk,3,1
CUS-00001,2023-03-01,Basalt Peak Health,SMB,Logistics & Transport,North America,Marketplace,Growth,monthly,2,1665.0,37,14,0.3784,136,9.71,50.0,3,3.33,41.4,At Risk,3,1
CUS-00001,2023-11-01,Basalt Peak Health,SMB,Logistics & Transport,North America,Marketplace,Growth,monthly,10,1080.0,24,15,0.625,449,29.93,51.0,1,3.85,59.9,Watch,2,1
CUS-00001,2023-12-01,Basalt Peak Health,SMB,Logistics & Transport,North America,Marketplace,Growth,monthly,11,1080.0,24,16,0.6667,247,15.44,60.6,1,3.7,63.7,Watch,2,1
CUS-00002,2023-01-01,Vertex Point Retail,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,0,1881.0,44,28,0.6364,220,7.86,77.9,1,4.14,64.4,Watch,2,1
CUS-00002,2023-02-01,Vertex Point Retail,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,1,1881.0,44,28,0.6364,682,24.36,65.3,2,4.36,61.5,Watch,2,1
CUS-00003,2023-01-01,Corvus Forge Group,SMB,Software & Technology,North America,Partner,Growth,monthly,0,585.0,13,7,0.5385,179,25.57,64.0,2,3.68,53.4,At Risk,3,1
CUS-00003,2023-02-01,Corvus Forge Group,SMB,Software & Technology,North America,Partner,Growth,monthly,1,585.0,13,6,0.4615,92,15.33,59.2,0,3.94,53.4,At Risk,3,1
CUS-00003,2023-03-01,Corvus Forge Group,SMB,Software & Technology,North America,Partner,Growth,monthly,2,585.0,13,6,0.4615,90,15.0,58.4,2,3.46,48.7,At Risk,3,1
CUS-00004,2023-01-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,0,99.3,4,2,0.5,15,7.5,56.0,3,3.82,49.4,At Risk,3,0
CUS-00004,2023-02-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,1,99.3,4,2,0.5,33,16.5,55.3,5,3.31,44.5,At Risk,3,0
CUS-00004,2023-03-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,2,124.13,5,2,0.4,18,9.0,48.1,2,3.95,46.1,At Risk,3,0
CUS-00004,2023-04-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,3,124.13,5,2,0.4,35,17.5,65.5,2,3.62,49.2,At Risk,3,0
CUS-00004,2023-05-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,4,124.13,5,2,0.4,23,11.5,42.3,1,3.48,44.4,At Risk,3,0
CUS-00004,2023-06-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,5,124.13,5,2,0.4,36,18.0,52.1,2,2.98,43.5,At Risk,3,0
CUS-00004,2023-07-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,6,124.13,5,2,0.4,30,15.0,50.6,5,3.58,42.8,At Risk,3,0
CUS-00004,2023-08-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,7,124.13,5,1,0.2,10,10.0,49.2,3,3.4,36.5,Critical,4,0
CUS-00004,2023-09-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,8,124.13,5,1,0.2,18,18.0,42.9,3,3.28,34.7,Critical,4,0
CUS-00004,2023-10-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,9,124.13,5,1,0.2,12,12.0,52.9,2,3.6,40.5,At Risk,3,0
CUS-00004,2023-11-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,10,124.13,5,1,0.2,7,7.0,24.4,2,3.01,30.8,Critical,4,0
CUS-00004,2023-12-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,11,124.13,5,1,0.2,5,5.0,34.4,2,3.15,34.4,Critical,4,1
CUS-00004,2024-01-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,12,124.13,5,1,0.2,5,5.0,37.7,3,3.34,35.4,Critical,4,1
CUS-00004,2024-02-01,Ridge Stone Networks,SMB,Professional Services,North America,Inbound,Starter,monthly,13,124.13,5,1,0.2,12,12.0,46.0,3,3.67,39.5,Critical,4,1
CUS-00005,2023-01-01,Lyra Watch Retail,SMB,Healthcare,North America,Inbound,Starter,monthly,0,49.8,2,1,0.5,22,22.0,59.4,4,3.71,48.4,At Risk,3,1
CUS-00006,2023-01-01,Nimbus Stone Financial,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,0,630.0,14,8,0.5714,110,13.75,52.6,3,3.8,51.3,At Risk,3,0
CUS-00006,2023-02-01,Nimbus Stone Financial,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,1,630.0,14,8,0.5714,132,16.5,58.6,2,3.42,52.5,At Risk,3,0
CUS-00006,2023-03-01,Nimbus Stone Financial,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,2,630.0,14,7,0.5,132,18.86,75.7,1,3.59,56.5,Watch,2,0
CUS-00006,2023-04-01,Nimbus Stone Financial,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,3,630.0,14,7,0.5,199,28.43,62.6,4,3.48,49.3,At Risk,3,0
CUS-00006,2023-05-01,Nimbus Stone Financial,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,4,630.0,14,7,0.5,163,23.29,56.4,2,4.05,53.5,At Risk,3,0
CUS-00006,2023-06-01,Nimbus Stone Financial,SMB,Software & Technology,EMEA,Inbound,Growth,monthly,5,630.0,14,6,0.4286,118,19.67,51.6,1,4.14,51.6,At Risk,3,0
