acquisition_channel,signup_month,activity_month,period_index,cohort_customers,acquisition_spend,cac,active_customers,net_revenue,contribution_margin,cumulative_contribution_margin,cumulative_margin_net_of_cac,payback_ratio
Affiliate,2024-11-01,2024-11-01,0,30,1223.67,40.79,26,9968.33,2540.8,2540.8,1317.13,2.0764
Affiliate,2024-11-01,2024-12-01,1,30,1223.67,40.79,7,1564.13,160.41,2701.21,1477.54,2.2075
Affiliate,2024-11-01,2025-01-01,2,30,1223.67,40.79,2,275.15,169.58,2870.79,1647.12,2.346
Affiliate,2024-11-01,2025-02-01,3,30,1223.67,40.79,2,368.80,144.76,3015.55,1791.88,2.4643
Affiliate,2024-11-01,2025-03-01,4,30,1223.67,40.79,2,668.52,218.56,3234.11,2010.44,2.643
Affiliate,2024-11-01,2025-04-01,5,30,1223.67,40.79,1,263.09,47.26,3281.37,2057.7,2.6816
Affiliate,2024-11-01,2025-05-01,6,30,1223.67,40.79,1,150.26,85.88,3367.25,2143.58,2.7518
Affiliate,2024-11-01,2025-06-01,7,30,1223.67,40.79,1,104.67,-24.2,3343.05,2119.38,2.732
Affiliate,2024-11-01,2025-07-01,8,30,1223.67,40.79,0,0.00,0.0,3343.05,2119.38,2.732
Affiliate,2024-11-01,2025-08-01,9,30,1223.67,40.79,1,253.89,52.86,3395.91,2172.24,2.7752
Affiliate,2024-11-01,2025-09-01,10,30,1223.67,40.79,0,0.00,0.0,3395.91,2172.24,2.7752
Affiliate,2024-11-01,2025-10-01,11,30,1223.67,40.79,1,686.45,81.12,3477.03,2253.36,2.8415
Affiliate,2024-11-01,2025-11-01,12,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
Affiliate,2024-11-01,2025-12-01,13,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
Affiliate,2024-11-01,2026-01-01,14,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
Affiliate,2024-11-01,2026-02-01,15,30,1223.67,40.79,0,0.00,0.0,3477.03,2253.36,2.8415
