cohort_month,first_order_experience,activity_month,period_index,cohort_customers,active_customers,orders,net_revenue,contribution_margin,active_rate,cumulative_contribution_margin,cumulative_margin_per_customer
2024-02-01,Clean,2024-02-01,0,116,116,119,31616.00,9752.8,1.0,9752.8,84.08
2024-02-01,Clean,2024-03-01,1,116,19,19,4528.56,1323.73,0.1638,11076.53,95.49
2024-02-01,Clean,2024-04-01,2,116,20,20,4905.32,1457.97,0.1724,12534.5,108.06
2024-02-01,Clean,2024-05-01,3,116,11,11,1757.52,533.04,0.0948,13067.54,112.65
2024-02-01,Clean,2024-06-01,4,116,11,11,2899.54,746.83,0.0948,13814.37,119.09
2024-02-01,Clean,2024-07-01,5,116,11,11,3605.92,790.84,0.0948,14605.21,125.91
2024-02-01,Clean,2024-08-01,6,116,7,7,2139.54,459.37,0.0603,15064.58,129.87
2024-02-01,Clean,2024-09-01,7,116,8,8,2185.20,663.15,0.069,15727.73,135.58
2024-02-01,Clean,2024-10-01,8,116,4,4,1863.36,424.4,0.0345,16152.13,139.24
2024-02-01,Clean,2024-11-01,9,116,5,5,1057.11,361.51,0.0431,16513.64,142.36
2024-02-01,Clean,2024-12-01,10,116,2,2,388.24,-53.45,0.0172,16460.19,141.9
2024-02-01,Clean,2025-01-01,11,116,3,3,611.61,75.0,0.0259,16535.19,142.54
2024-02-01,Clean,2025-02-01,12,116,1,1,51.74,25.32,0.0086,16560.51,142.76
2024-02-01,Clean,2025-03-01,13,116,1,1,348.70,187.46,0.0086,16747.97,144.38
2024-02-01,Clean,2025-04-01,14,116,0,0,0.00,0.0,0.0,16747.97,144.38
2024-02-01,Clean,2025-05-01,15,116,1,1,185.70,55.53,0.0086,16803.5,144.86
2024-02-01,Clean,2025-06-01,16,116,1,1,164.08,52.78,0.0086,16856.28,145.31
2024-02-01,Clean,2025-07-01,17,116,0,0,0.00,0.0,0.0,16856.28,145.31
2024-02-01,Clean,2025-08-01,18,116,1,1,556.57,45.24,0.0086,16901.52,145.7
2024-02-01,Clean,2025-09-01,19,116,0,0,0.00,0.0,0.0,16901.52,145.7
2024-02-01,Clean,2025-10-01,20,116,1,1,1333.40,206.03,0.0086,17107.55,147.48
2024-02-01,Clean,2025-11-01,21,116,0,0,0.00,0.0,0.0,17107.55,147.48
2024-02-01,Clean,2025-12-01,22,116,1,1,864.42,178.83,0.0086,17286.38,149.02
2024-02-01,Clean,2026-01-01,23,116,0,0,0.00,0.0,0.0,17286.38,149.02
2024-02-01,Clean,2026-02-01,24,116,0,0,0.00,0.0,0.0,17286.38,149.02
2024-02-01,Clean,2026-03-01,25,116,0,0,0.00,0.0,0.0,17286.38,149.02
2024-02-01,Clean,2026-04-01,26,116,0,0,0.00,0.0,0.0,17286.38,149.02
2024-02-01,Clean,2026-05-01,27,116,0,0,0.00,0.0,0.0,17286.38,149.02
2024-02-01,Clean,2026-06-01,28,116,0,0,0.00,0.0,0.0,17286.38,149.02
2024-05-01,Returned,2024-05-01,0,58,58,58,22075.91,944.15,1.0,944.15,16.28
2024-05-01,Returned,2024-06-01,1,58,5,5,2632.90,524.71,0.0862,1468.86,25.33
2024-05-01,Returned,2024-07-01,2,58,7,7,2243.83,493.73,0.1207,1962.59,33.84
2024-05-01,Returned,2024-08-01,3,58,10,10,2577.01,794.12,0.1724,2756.71,47.53
2024-05-01,Returned,2024-09-01,4,58,6,6,754.83,74.32,0.1034,2831.03,48.81
2024-05-01,Returned,2024-10-01,5,58,2,2,325.25,116.78,0.0345,2947.81,50.82
2024-05-01,Returned,2024-11-01,6,58,2,2,844.98,10.4,0.0345,2958.21,51.0
2024-05-01,Returned,2024-12-01,7,58,3,3,358.56,145.36,0.0517,3103.57,53.51
2024-05-01,Returned,2025-01-01,8,58,0,0,0.00,0.0,0.0,3103.57,53.51
2024-05-01,Returned,2025-02-01,9,58,3,3,1195.80,335.78,0.0517,3439.35,59.3
2024-05-01,Returned,2025-03-01,10,58,2,2,713.72,117.91,0.0345,3557.26,61.33
2024-05-01,Returned,2025-04-01,11,58,2,2,377.70,144.77,0.0345,3702.03,63.83
2024-05-01,Returned,2025-05-01,12,58,0,0,0.00,0.0,0.0,3702.03,63.83
2024-05-01,Returned,2025-06-01,13,58,1,1,29.47,8.54,0.0172,3710.57,63.98
2024-05-01,Returned,2025-07-01,14,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2025-08-01,15,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2025-09-01,16,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2025-10-01,17,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2025-11-01,18,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2025-12-01,19,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2026-01-01,20,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2026-02-01,21,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2026-03-01,22,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2026-04-01,23,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2026-05-01,24,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-05-01,Returned,2026-06-01,25,58,0,0,0.00,0.0,0.0,3710.57,63.98
2024-09-01,Returned,2024-09-01,0,75,75,75,28623.21,2489.56,1.0,2489.56,33.19
2024-09-01,Returned,2024-10-01,1,75,7,7,2438.31,332.78,0.0933,2822.34,37.63
2024-09-01,Returned,2024-11-01,2,75,14,14,3131.09,576.49,0.1867,3398.83,45.32
2024-09-01,Returned,2024-12-01,3,75,8,9,1718.65,578.83,0.1067,3977.66,53.04
2024-09-01,Returned,2025-01-01,4,75,4,4,878.09,84.75,0.0533,4062.41,54.17
2024-09-01,Returned,2025-02-01,5,75,4,4,944.47,245.24,0.0533,4307.65,57.44
