cohort_month,cohort_quarter,segment,period_index,activity_month,cohort_customers,cohort_initial_mrr,active_customers,retained_mrr
2023-01-01,2023-01-01,Enterprise,0,2023-01-01,1,41689.34,1,41689.34
2023-01-01,2023-01-01,Enterprise,1,2023-02-01,1,41689.34,1,41689.34
2023-01-01,2023-01-01,Enterprise,2,2023-03-01,1,41689.34,1,59156.02
2023-01-01,2023-01-01,Enterprise,3,2023-04-01,1,41689.34,1,59156.02
2023-01-01,2023-01-01,Enterprise,4,2023-05-01,1,41689.34,1,59156.02
2023-01-01,2023-01-01,Enterprise,5,2023-06-01,1,41689.34,1,59156.02
2023-01-01,2023-01-01,Enterprise,6,2023-07-01,1,41689.34,1,59156.02
2023-01-01,2023-01-01,Enterprise,7,2023-08-01,1,41689.34,1,59156.02
2023-01-01,2023-01-01,Enterprise,8,2023-09-01,1,41689.34,1,59156.02
2023-01-01,2023-01-01,Enterprise,9,2023-10-01,1,41689.34,1,69619.55
2023-01-01,2023-01-01,Enterprise,10,2023-11-01,1,41689.34,1,69619.55
2023-01-01,2023-01-01,Enterprise,11,2023-12-01,1,41689.34,1,69619.55
2023-01-01,2023-01-01,Enterprise,12,2024-01-01,1,41689.34,1,69619.55
2023-01-01,2023-01-01,Enterprise,13,2024-02-01,1,41689.34,1,69619.55
2023-01-01,2023-01-01,Enterprise,14,2024-03-01,1,41689.34,1,69619.55
2023-01-01,2023-01-01,Enterprise,15,2024-04-01,1,41689.34,1,69619.55
2023-01-01,2023-01-01,Enterprise,16,2024-05-01,1,41689.34,1,74562.95
2023-01-01,2023-01-01,Enterprise,17,2024-06-01,1,41689.34,1,74562.95
2023-01-01,2023-01-01,Enterprise,18,2024-07-01,1,41689.34,1,74562.95
2023-01-01,2023-01-01,Enterprise,19,2024-08-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,20,2024-09-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,21,2024-10-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,22,2024-11-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,23,2024-12-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,24,2025-01-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,25,2025-02-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,26,2025-03-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,27,2025-04-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,28,2025-05-01,1,41689.34,1,92194.41
2023-01-01,2023-01-01,Enterprise,29,2025-06-01,1,41689.34,1,103399.45
2023-01-01,2023-01-01,Enterprise,30,2025-07-01,1,41689.34,1,103399.45
2023-01-01,2023-01-01,Enterprise,31,2025-08-01,1,41689.34,1,118641.6
2023-01-01,2023-01-01,Enterprise,32,2025-09-01,1,41689.34,1,118641.6
2023-01-01,2023-01-01,Enterprise,33,2025-10-01,1,41689.34,1,147972.44
2023-01-01,2023-01-01,Enterprise,34,2025-11-01,1,41689.34,1,147972.44
2023-01-01,2023-01-01,Enterprise,35,2025-12-01,1,41689.34,1,182411.46
2023-01-01,2023-01-01,Enterprise,36,2026-01-01,1,41689.34,1,102987.5
2023-01-01,2023-01-01,Enterprise,37,2026-02-01,1,41689.34,1,102987.5
2023-01-01,2023-01-01,Enterprise,38,2026-03-01,1,41689.34,1,80659.81
2023-01-01,2023-01-01,Enterprise,39,2026-04-01,1,41689.34,1,80659.81
2023-01-01,2023-01-01,Enterprise,40,2026-05-01,1,41689.34,1,80659.81
2023-01-01,2023-01-01,Enterprise,41,2026-06-01,1,41689.34,1,80659.81
2023-01-01,2023-01-01,Enterprise,42,2026-07-01,1,41689.34,1,80659.81
2023-01-01,2023-01-01,Enterprise,43,2026-08-01,1,41689.34,1,80659.81
2023-01-01,2023-01-01,Mid-Market,0,2023-01-01,2,17441.25,2,17441.25
2023-01-01,2023-01-01,Mid-Market,1,2023-02-01,2,17441.25,2,17441.25
2023-01-01,2023-01-01,Mid-Market,2,2023-03-01,2,17441.25,2,17441.25
2023-01-01,2023-01-01,Mid-Market,3,2023-04-01,2,17441.25,2,17441.25
2023-01-01,2023-01-01,Mid-Market,4,2023-05-01,2,17441.25,2,15218.25
2023-01-01,2023-01-01,Mid-Market,5,2023-06-01,2,17441.25,2,15218.25
2023-01-01,2023-01-01,Mid-Market,6,2023-07-01,2,17441.25,2,15218.25
2023-01-01,2023-01-01,Mid-Market,7,2023-08-01,2,17441.25,2,19390.35
2023-01-01,2023-01-01,Mid-Market,8,2023-09-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,9,2023-10-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,10,2023-11-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,11,2023-12-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,12,2024-01-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,13,2024-02-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,14,2024-03-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,15,2024-04-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,16,2024-05-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,17,2024-06-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,18,2024-07-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,19,2024-08-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,20,2024-09-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,21,2024-10-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,22,2024-11-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,23,2024-12-01,2,17441.25,2,22287.9
2023-01-01,2023-01-01,Mid-Market,24,2025-01-01,2,17441.25,2,23111.85
2023-01-01,2023-01-01,Mid-Market,25,2025-02-01,2,17441.25,2,23111.85
2023-01-01,2023-01-01,Mid-Market,26,2025-03-01,2,17441.25,2,23111.85
2023-01-01,2023-01-01,Mid-Market,27,2025-04-01,2,17441.25,2,23111.85
2023-01-01,2023-01-01,Mid-Market,28,2025-05-01,2,17441.25,2,23111.85
2023-01-01,2023-01-01,Mid-Market,29,2025-06-01,2,17441.25,2,24667.95
2023-01-01,2023-01-01,Mid-Market,30,2025-07-01,2,17441.25,2,24667.95
2023-01-01,2023-01-01,Mid-Market,31,2025-08-01,2,17441.25,2,22222.65
2023-01-01,2023-01-01,Mid-Market,32,2025-09-01,2,17441.25,2,22222.65
2023-01-01,2023-01-01,Mid-Market,33,2025-10-01,2,17441.25,2,22222.65
2023-01-01,2023-01-01,Mid-Market,34,2025-11-01,2,17441.25,2,22222.65
2023-01-01,2023-01-01,Mid-Market,35,2025-12-01,2,17441.25,2,22222.65
2023-01-01,2023-01-01,Mid-Market,36,2026-01-01,2,17441.25,2,22222.65
2023-01-01,2023-01-01,Mid-Market,37,2026-02-01,2,17441.25,2,17044.05
