order_month,category,discount_band,discount_band_rank,order_lines,orders,units,units_per_line,gross_revenue,discount_given,net_revenue,contribution_margin,avg_discount_rate,net_revenue_per_unit,margin_per_unit,contribution_margin_rate,returned_lines,return_line_rate
2024-09-01,Footwear,0%,0,91,78,113,1.242,10620.72,0.00,10620.72,3992.61,0.0,93.99,35.33,0.3759,24,0.2637
2025-01-01,Apparel,0%,0,135,114,158,1.17,11955.03,0.00,11955.03,4892.86,0.0,75.66,30.97,0.4093,37,0.2741
2024-12-01,Electronics,20-30%,3,20,20,24,1.2,6104.34,1500.92,4603.42,-654.24,0.2468,191.81,-27.26,-0.1421,1,0.05
2025-07-01,Apparel,0%,0,234,186,269,1.15,20260.47,0.00,20260.47,8763.26,0.0,75.32,32.58,0.4325,50,0.2137
2025-04-01,Electronics,0%,0,117,97,154,1.316,43468.60,0.00,43468.60,5456.71,0.0,282.26,35.43,0.1255,10,0.0855
2025-10-01,Electronics,1-10%,1,13,13,15,1.154,4421.32,215.55,4205.77,436.52,0.0558,280.38,29.1,0.1038,2,0.1538
2025-11-01,Sports & Outdoors,10-20%,2,17,17,22,1.294,4218.89,624.21,3594.68,764.48,0.1461,163.39,34.75,0.2127,3,0.1765
2025-12-01,Footwear,20-30%,3,25,25,33,1.32,2736.77,695.65,2041.12,537.73,0.2534,61.85,16.29,0.2634,6,0.24
2026-01-01,Beauty,10-20%,2,17,15,21,1.235,1126.75,177.74,949.01,472.27,0.1579,45.19,22.49,0.4976,1,0.0588
2026-03-01,Sports & Outdoors,10-20%,2,19,19,27,1.421,4713.38,730.79,3982.59,792.27,0.1546,147.5,29.34,0.1989,3,0.1579
2024-04-01,Beauty,0%,0,67,56,86,1.284,4159.05,0.00,4159.05,2441.38,0.0,48.36,28.39,0.587,2,0.0299
2024-06-01,Electronics,1-10%,1,5,5,6,1.2,1893.52,127.05,1766.47,143.93,0.0629,294.41,23.99,0.0815,0,0.0
2025-02-01,Apparel,10-20%,2,23,22,29,1.261,2420.46,350.46,2070.00,859.97,0.1467,71.38,29.65,0.4154,5,0.2174
2024-11-01,Footwear,20-30%,3,23,23,30,1.304,2838.30,744.42,2093.88,497.61,0.2591,69.8,16.59,0.2376,7,0.3043
2024-10-01,Sports & Outdoors,0%,0,80,73,91,1.138,17399.19,0.00,17399.19,4563.45,0.0,191.2,50.15,0.2623,17,0.2125
2024-12-01,Sports & Outdoors,20-30%,3,17,17,21,1.235,3630.72,960.56,2670.16,192.21,0.2611,127.15,9.15,0.072,4,0.2353
2025-05-01,Beauty,0%,0,89,77,102,1.146,5202.35,0.00,5202.35,2858.03,0.0,51.0,28.02,0.5494,7,0.0787
2025-01-01,Electronics,0%,0,101,79,121,1.198,30134.83,0.00,30134.83,3941.6,0.0,249.05,32.58,0.1308,7,0.0693
2025-01-01,Sports & Outdoors,0%,0,59,53,78,1.322,12671.78,0.00,12671.78,4357.54,0.0,162.46,55.87,0.3439,6,0.1017
2025-05-01,Electronics,20-30%,3,23,23,25,1.087,6720.51,1641.25,5079.26,-625.01,0.2483,203.17,-25.0,-0.1231,1,0.0435
2025-08-01,Beauty,20-30%,3,17,16,21,1.235,1132.47,266.75,865.72,374.34,0.2385,41.22,17.83,0.4324,2,0.1176
2025-08-01,Electronics,0%,0,129,112,175,1.357,49759.93,0.00,49759.93,6903.69,0.0,284.34,39.45,0.1387,7,0.0543
2025-05-01,Beauty,10-20%,2,17,16,19,1.118,1147.82,156.29,991.53,494.66,0.1365,52.19,26.03,0.4989,1,0.0588
