invoice_id,customer_id,company_name,segment,region,subscription_id,plan_name,invoice_date,invoice_month,period_start,period_end,billing_period,amount,status,paid_date,payment_method,attempts,collected_amount,at_risk_amount,days_to_pay,is_failed,is_dunning_recovered
INV-000001,CUS-00001,Basalt Peak Health,SMB,North America,SUB-00001-00,Growth,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,1665.00,paid,2023-01-04,Credit card,1,1665.00,0.00,3,0,0
INV-000002,CUS-00001,Basalt Peak Health,SMB,North America,SUB-00001-00,Growth,2023-02-01,2023-02-01,2023-02-01,2023-03-01,monthly,1665.00,paid,2023-02-04,ACH / bank transfer,1,1665.00,0.00,3,0,0
INV-000003,CUS-00001,Basalt Peak Health,SMB,North America,SUB-00001-00,Growth,2023-03-01,2023-03-01,2023-03-01,2023-04-01,monthly,1665.00,paid,2023-03-01,Credit card,1,1665.00,0.00,0,0,0
INV-000004,CUS-00001,Basalt Peak Health,SMB,North America,SUB-00001-01,Growth,2023-11-01,2023-11-01,2023-11-01,2023-12-01,monthly,1080.00,paid,2023-11-02,ACH / bank transfer,1,1080.00,0.00,1,0,0
INV-000005,CUS-00001,Basalt Peak Health,SMB,North America,SUB-00001-01,Growth,2023-12-01,2023-12-01,2023-12-01,2024-01-01,monthly,1080.00,failed,,Credit card,3,0.00,1080.00,,1,0
INV-000006,CUS-00002,Vertex Point Retail,SMB,EMEA,SUB-00002-00,Growth,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,1881.00,paid,2023-01-02,ACH / bank transfer,1,1881.00,0.00,1,0,0
INV-000007,CUS-00002,Vertex Point Retail,SMB,EMEA,SUB-00002-00,Growth,2023-02-01,2023-02-01,2023-02-01,2023-03-01,monthly,1881.00,paid,2023-02-04,Credit card,1,1881.00,0.00,3,0,0
INV-000008,CUS-00003,Corvus Forge Group,SMB,North America,SUB-00003-00,Growth,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,585.00,paid,2023-01-03,Credit card,1,585.00,0.00,2,0,0
INV-000009,CUS-00003,Corvus Forge Group,SMB,North America,SUB-00003-00,Growth,2023-02-01,2023-02-01,2023-02-01,2023-03-01,monthly,585.00,paid,2023-02-04,Credit card,1,585.00,0.00,3,0,0
INV-000010,CUS-00003,Corvus Forge Group,SMB,North America,SUB-00003-00,Growth,2023-03-01,2023-03-01,2023-03-01,2023-04-01,monthly,585.00,paid,2023-03-02,ACH / bank transfer,1,585.00,0.00,1,0,0
INV-000011,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-00,Starter,2023-01-01,2023-01-01,2023-01-01,2023-02-01,monthly,99.30,paid,2023-01-04,Credit card,1,99.30,0.00,3,0,0
INV-000012,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-00,Starter,2023-02-01,2023-02-01,2023-02-01,2023-03-01,monthly,99.30,paid,2023-02-04,Credit card,1,99.30,0.00,3,0,0
INV-000013,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-03-01,2023-03-01,2023-03-01,2023-04-01,monthly,124.12,paid,2023-03-01,Credit card,1,124.12,0.00,0,0,0
INV-000014,CUS-00004,Ridge Stone Networks,SMB,North America,SUB-00004-01,Starter,2023-04-01,2023-04-01,2023-04-01,2023-05-01,monthly,124.12,paid,2023-04-04,Credit card,1,124.12,0.00,3,0,0
