month,customer_id,company_name,segment,industry,region,country,acquisition_channel,sales_rep,cohort_month,tenure_months,plan_name,billing_period,seats,seat_change,mrr,prior_mrr,net_change_mrr,movement_type,new_mrr,reactivation_mrr,expansion_mrr,contraction_mrr,churned_mrr,is_active,churn_type,churn_reason
2023-01-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,0,Growth,annual,39,39,1614.6,0.0,1614.6,New,1614.6,0.0,0.0,0.0,0.0,1,,
2023-02-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,1,Growth,annual,39,0,1614.6,1614.6,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-03-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,2,Growth,annual,52,13,2152.8,1614.6,538.2,Expansion,0.0,0.0,538.2,0.0,0.0,1,,
2023-04-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,3,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-05-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,4,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-06-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,5,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-07-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,6,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-08-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,7,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-09-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,8,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-10-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,9,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-11-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,10,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-12-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,11,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-01-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,12,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-02-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,13,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-03-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,14,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-04-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,15,Growth,annual,52,0,2152.8,2152.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-05-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,16,Growth,annual,56,4,2318.4,2152.8,165.6,Expansion,0.0,0.0,165.6,0.0,0.0,1,,
2024-06-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,17,Growth,annual,56,0,2318.4,2318.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-07-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,18,Growth,annual,56,0,2318.4,2318.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-08-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,19,Growth,annual,56,0,2318.4,2318.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-09-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,20,Growth,annual,56,0,2318.4,2318.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-10-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,21,Growth,annual,56,0,2318.4,2318.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-11-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,22,Growth,annual,56,0,2318.4,2318.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2024-12-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,23,Growth,annual,56,0,2318.4,2318.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-01-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,24,Growth,annual,66,10,2732.4,2318.4,414.0,Expansion,0.0,0.0,414.0,0.0,0.0,1,,
2025-02-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,25,Growth,annual,66,0,2732.4,2732.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-03-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,26,Growth,annual,66,0,2732.4,2732.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-04-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,27,Growth,annual,66,0,2732.4,2732.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-05-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,28,Growth,annual,66,0,2732.4,2732.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-06-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,29,Growth,annual,66,0,2732.4,2732.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-07-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,30,Growth,annual,66,0,2732.4,2732.4,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-08-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,31,Growth,annual,42,-24,1738.8,2732.4,-993.6,Contraction,0.0,0.0,0.0,993.6,0.0,1,,
2025-09-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,32,Growth,annual,42,0,1738.8,1738.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-10-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,33,Growth,annual,42,0,1738.8,1738.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-11-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,34,Growth,annual,42,0,1738.8,1738.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2025-12-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,35,Growth,annual,42,0,1738.8,1738.8,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-04-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,39,Growth,annual,33,33,1366.2,0.0,1366.2,Reactivation,0.0,1366.2,0.0,0.0,0.0,1,,
2026-05-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,40,Growth,annual,33,0,1366.2,1366.2,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-06-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,41,Growth,annual,33,0,1366.2,1366.2,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-07-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,42,Growth,annual,33,0,1366.2,1366.2,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2026-08-01,CUS-00011,Halcyon Point Partners,SMB,Manufacturing,North America,United States,Inbound,F. Whitfield,2023-01-01,43,Growth,annual,33,0,1366.2,1366.2,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-01-01,CUS-00014,Bluefin Arbor Industries,SMB,Financial Services,EMEA,Germany,Self-Serve,,2023-01-01,0,Growth,monthly,18,18,760.59,0.0,760.59,New,760.59,0.0,0.0,0.0,0.0,1,,
2023-02-01,CUS-00014,Bluefin Arbor Industries,SMB,Financial Services,EMEA,Germany,Self-Serve,,2023-01-01,1,Growth,monthly,18,0,760.59,760.59,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-03-01,CUS-00014,Bluefin Arbor Industries,SMB,Financial Services,EMEA,Germany,Self-Serve,,2023-01-01,2,Growth,monthly,18,0,760.59,760.59,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-04-01,CUS-00014,Bluefin Arbor Industries,SMB,Financial Services,EMEA,Germany,Self-Serve,,2023-01-01,3,Growth,monthly,18,0,760.59,760.59,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-02-01,CUS-00019,Corvus Field Partners,Mid-Market,Education,North America,United States,Inbound,B. Lindqvist,2023-02-01,0,Scale,monthly,50,50,3577.5,0.0,3577.5,New,3577.5,0.0,0.0,0.0,0.0,1,,
2023-03-01,CUS-00019,Corvus Field Partners,Mid-Market,Education,North America,United States,Inbound,B. Lindqvist,2023-02-01,1,Scale,monthly,50,0,3577.5,3577.5,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-04-01,CUS-00059,Halcyon Point Analytics,SMB,Retail & E-commerce,North America,United States,Marketplace,A. Okafor,2023-04-01,0,Starter,monthly,6,6,143.25,0.0,143.25,New,143.25,0.0,0.0,0.0,0.0,1,,
2023-04-01,CUS-00064,Meridian Cove Networks,SMB,Retail & E-commerce,North America,United States,Inbound,D. Ferreira,2023-04-01,0,Starter,monthly,3,3,73.13,0.0,73.13,New,73.13,0.0,0.0,0.0,0.0,1,,
2023-05-01,CUS-00064,Meridian Cove Networks,SMB,Retail & E-commerce,North America,United States,Inbound,D. Ferreira,2023-04-01,1,Starter,monthly,3,0,73.13,73.13,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-06-01,CUS-00064,Meridian Cove Networks,SMB,Retail & E-commerce,North America,United States,Inbound,D. Ferreira,2023-04-01,2,Starter,monthly,3,0,73.13,73.13,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-07-01,CUS-00064,Meridian Cove Networks,SMB,Retail & E-commerce,North America,United States,Inbound,D. Ferreira,2023-04-01,3,Starter,monthly,3,0,73.13,73.13,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-08-01,CUS-00064,Meridian Cove Networks,SMB,Retail & E-commerce,North America,United States,Inbound,D. Ferreira,2023-04-01,4,Starter,monthly,3,0,73.13,73.13,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
2023-09-01,CUS-00064,Meridian Cove Networks,SMB,Retail & E-commerce,North America,United States,Inbound,D. Ferreira,2023-04-01,5,Starter,monthly,3,0,73.13,73.13,0.0,Retained,0.0,0.0,0.0,0.0,0.0,1,,
