month,segment,starting_mrr,ending_mrr,new_mrr,expansion_mrr,reactivation_mrr,contraction_mrr,churned_mrr,retention_base_mrr,retention_base_ending_mrr,active_customers,starting_customers,new_customers,churned_customers,reactivated_customers,expanded_customers,contracted_customers
2023-02-01,SMB,11046.74,16968.68,5971.74,0.0,0.0,0.0,49.8,11046.74,10996.94,20,12,9,1,0,0,0
2026-06-01,SMB,262903.54,252779.11,11243.9,3764.07,0.0,2186.13,22946.27,262903.54,241535.21,454,447,30,23,0,23,8
2025-12-01,Mid-Market,747310.66,757780.8,42394.68,9737.03,2958.0,2318.04,42301.53,747310.66,712428.12,205,195,19,10,1,13,2
2026-07-01,Mid-Market,1114950.61,1186997.69,81271.66,15986.51,0.0,12855.94,12355.15,1114950.61,1105726.03,292,275,21,4,0,13,8
2026-02-01,SMB,222160.48,230156.29,14495.19,2174.48,119.35,1725.12,7068.09,222160.48,215541.75,404,378,38,14,2,19,7
2025-12-01,Enterprise,3149387.1,3415138.24,342451.09,55735.98,0.0,27496.29,104939.64,3149387.1,3072687.15,123,118,9,4,0,6,4
2026-07-01,Enterprise,4556963.84,4680887.59,66535.7,102064.13,0.0,44676.08,0.0,4556963.84,4614351.89,157,155,2,0,0,21,5
2024-04-01,SMB,84767.48,86109.16,6251.54,1252.36,680.4,674.92,6167.7,84767.48,79177.22,142,130,17,6,1,11,5
2024-11-01,SMB,115223.06,126447.39,16073.56,1490.15,125.0,675.17,5789.21,115223.06,110248.83,207,198,18,10,1,10,4
2023-11-01,Mid-Market,171966.85,191039.38,21596.38,2427.57,0.0,4489.85,461.57,171966.85,169443.0,50,46,5,1,0,4,2
2024-10-01,Mid-Market,344356.02,363524.98,32763.61,8512.45,0.0,578.02,21529.08,344356.02,330761.37,101,99,7,5,0,8,2
2025-02-01,Mid-Market,438811.52,457591.45,27159.33,10642.41,0.0,2123.48,16898.33,438811.52,430432.12,128,122,7,1,0,12,3
2026-03-01,SMB,230156.29,241610.46,16138.27,4197.89,139.95,1976.2,7045.74,230156.29,225332.24,422,404,37,20,1,33,10
2023-11-01,Enterprise,532622.14,548375.35,7801.2,19758.09,0.0,11806.08,0.0,532622.14,540574.15,28,26,2,0,0,2,1
2024-10-01,Enterprise,1357693.39,1481684.87,122446.74,15732.19,0.0,14187.45,0.0,1357693.39,1359238.13,64,60,4,0,0,5,2
2025-02-01,Enterprise,1703183.06,1808608.27,62238.48,43186.73,0.0,0.0,0.0,1703183.06,1746369.79,81,77,4,0,0,5,0
2023-01-01,Mid-Market,0.0,17441.25,17441.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0
2023-01-01,Enterprise,0.0,41689.34,41689.34,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
2023-03-01,SMB,16968.68,24360.86,8461.27,811.91,0.0,0.0,1881.0,16968.68,15899.59,31,20,12,1,0,4,0
2025-05-01,Mid-Market,512444.25,536339.5,43213.5,3819.78,0.0,11947.72,11190.31,512444.25,493126.0,144,141,10,7,0,9,11
2025-05-01,Enterprise,2110797.26,2255882.95,104027.82,49622.58,0.0,2300.18,6264.53,2110797.26,2151855.13,97,93,5,1,0,11,2
2023-06-01,SMB,29786.23,40894.0,10798.75,381.17,0.0,0.0,72.15,29786.23,30095.25,56,41,16,1,0,3,0
2025-03-01,Mid-Market,457591.45,502496.22,48127.44,5846.37,987.48,7113.74,2942.78,457591.45,453381.3,137,128,9,1,1,10,6
2025-06-01,Mid-Market,536339.5,582103.33,41408.12,14034.14,0.0,4090.71,5587.72,536339.5,540695.21,153,144,11,2,0,16,3
2025-03-01,Enterprise,1808608.27,1955576.26,142609.84,23758.74,0.0,19400.59,0.0,1808608.27,1812966.42,89,81,8,0,0,10,2
2025-06-01,Enterprise,2255882.95,2346696.21,142655.73,85148.81,0.0,2262.3,134728.98,2255882.95,2204040.48,98,97,4,3,0,12,2
2023-09-01,SMB,44916.1,52224.97,9596.53,1693.52,0.0,75.0,3906.18,44916.1,42628.44,73,64,14,5,0,4,1
2025-01-01,SMB,127049.23,132301.34,11199.56,2194.67,0.0,2415.23,5726.89,127049.23,121101.78,224,215,22,13,0,16,7
2025-08-01,SMB,173811.33,182549.61,10835.89,649.15,1416.08,1782.04,2380.8,173811.33,170297.64,309,294,22,10,3,13,8
2023-05-01,Mid-Market,68483.96,88152.61,20767.33,1124.32,0.0,2223.0,0.0,68483.96,67385.28,21,14,7,0,0,1,1
2023-12-01,Mid-Market,191039.38,232107.55,38288.49,3051.21,0.0,271.53,0.0,191039.38,193819.06,62,50,12,0,0,5,1
2024-03-01,Mid-Market,258603.83,279293.12,21288.44,1568.32,0.0,0.0,2167.47,258603.83,258004.68,73,69,6,2,0,4,0
2024-07-01,Mid-Market,331826.58,331563.32,11212.35,8293.91,0.0,5485.98,14283.54,331826.58,320350.97,94,92,4,2,0,9,3
2024-08-01,Mid-Market,331563.32,343702.71,11710.18,14189.59,0.0,513.32,13247.06,331563.32,331992.53,96,94,5,3,0,9,2
2024-12-01,Mid-Market,381195.91,401107.98,34688.81,14418.98,1942.38,0.0,31138.1,381195.91,364476.79,112,106,12,7,1,12,0
2025-09-01,Mid-Market,669945.78,670121.94,34192.7,12679.36,0.0,14638.14,32057.76,669945.78,635929.24,177,170,13,6,0,15,7
2025-11-01,Mid-Market,694020.95,747310.66,52670.12,17039.56,0.0,3022.03,13397.94,694020.95,694640.54,195,184,16,5,0,20,4
2023-12-01,Enterprise,548375.35,609788.51,38104.0,23816.76,0.0,507.6,0.0,548375.35,571684.51,29,28,1,0,0,6,1
2024-03-01,Enterprise,621305.37,677194.24,50170.97,9730.7,0.0,4012.8,0.0,621305.37,627023.27,37,31,6,0,0,2,1
2024-07-01,Enterprise,1017271.27,1076185.22,81112.86,27434.73,0.0,10584.3,39049.34,1017271.27,995072.36,50,47,4,1,0,6,3
2024-08-01,Enterprise,1076185.22,1302818.95,171339.3,55294.43,0.0,0.0,0.0,1076185.22,1131479.65,55,50,5,0,0,10,0
2024-12-01,Enterprise,1608098.48,1630694.49,82250.37,25555.89,0.0,12388.82,72821.43,1608098.48,1548444.12,74,70,5,1,0,4,3
2025-09-01,Enterprise,2464757.79,2730666.42,170676.06,118120.88,0.0,20336.81,2551.5,2464757.79,2559990.36,111,103,9,1,0,13,3
2025-11-01,Enterprise,2886379.42,3149387.1,198295.47,143467.15,0.0,17471.19,61283.75,2886379.42,2951091.63,118,114,6,2,0,17,3
2023-04-01,Mid-Market,64042.19,68483.96,7770.6,248.67,0.0,0.0,3577.5,64042.19,60713.36,14,13,2,1,0,1,0
2023-04-01,Enterprise,166705.11,190818.81,24113.7,0.0,0.0,0.0,0.0,166705.11,166705.11,8,5,3,0,0,0,0
2023-05-01,Enterprise,190818.81,246619.76,55800.95,0.0,0.0,0.0,0.0,190818.81,190818.81,13,8,5,0,0,0,0
2023-04-01,SMB,24360.86,26640.57,4506.21,23.5,0.0,0.0,2250.0,24360.86,22134.36,40,31,11,2,0,1,0
2023-05-01,SMB,26640.57,29786.23,5657.15,215.88,0.0,552.82,2174.55,26640.57,24129.08,41,40,6,5,0,2,1
2023-12-01,SMB,60671.22,63711.27,5504.38,1047.64,0.0,592.3,2919.67,60671.22,58206.89,98,89,14,5,0,10,3
2024-03-01,SMB,77936.49,84767.48,7847.53,1479.49,0.0,121.2,2374.83,77936.49,76919.95,130,121,15,6,0,7,3
2024-07-01,SMB,96065.48,101864.16,7637.46,1449.18,0.0,353.78,2934.18,96065.48,94226.7,170,158,19,7,0,7,5
2024-08-01,SMB,101864.16,112139.38,8797.41,2078.84,0.0,427.98,173.05,101864.16,103341.97,180,170,12,2,0,15,6
2024-12-01,SMB,126447.39,127049.23,11705.1,2795.79,0.0,1019.69,12879.36,126447.39,115344.13,215,207,25,17,0,8,4
2025-09-01,SMB,182549.61,188428.93,14262.79,2363.65,810.83,1088.43,10469.52,182549.61,173355.31,320,309,22,13,2,15,9
2025-11-01,SMB,196294.95,200219.94,12840.87,4929.91,0.0,2316.78,11529.01,196294.95,187379.07,344,328,33,17,0,24,10
2023-09-01,Mid-Market,163735.91,158091.15,2422.77,3222.31,0.0,1209.37,10080.47,163735.91,155668.38,39,38,4,3,0,3,2
2025-01-01,Mid-Market,401107.98,438811.52,40651.29,9369.11,0.0,10081.8,2235.06,401107.98,398160.23,122,112,12,2,0,14,9
