month,segment,base_mrr,retained_mrr,retained_mrr_capped,base_customers,retained_customers
2024-01-01,Enterprise,41689.34,69619.55,41689.34,1,1
2024-01-01,Mid-Market,17441.25,22287.9,17441.25,2,2
2024-01-01,SMB,11046.74,6289.56,5327.87,12,6
2024-02-01,Enterprise,88824.23,101162.6,73232.39,3,3
2024-02-01,Mid-Market,49692.45,41004.56,35360.24,9,6
2024-02-01,SMB,16968.68,10939.91,8439.21,20,10
2024-03-01,Enterprise,166705.11,163741.05,151113.27,5,5
2024-03-01,Mid-Market,64042.19,55524.89,47968.88,13,8
2024-03-01,SMB,24360.86,14846.57,12210.33,31,14
2024-04-01,Enterprise,190818.81,189160.05,173659.47,8,8
2024-04-01,Mid-Market,68483.96,64279.95,54692.15,14,10
2024-04-01,SMB,26640.57,16570.88,13633.63,40,18
2024-05-01,Enterprise,246619.76,269949.36,215339.01,13,13
2024-05-01,Mid-Market,88152.61,92881.31,72443.58,21,16
2024-05-01,SMB,29786.23,21386.75,17705.44,41,22
2024-06-01,Enterprise,278174.53,306687.04,248378.56,14,14
2024-06-01,Mid-Market,111401.47,120340.09,90402.65,26,20
2024-06-01,SMB,40894.0,27048.62,22818.44,56,31
2024-07-01,Enterprise,367789.9,421610.58,341667.49,18,18
2024-07-01,Mid-Market,147133.24,124327.54,99452.41,33,23
2024-07-01,SMB,41363.16,27074.41,22313.29,58,32
2024-08-01,Enterprise,385902.63,489541.92,361682.07,20,20
2024-08-01,Mid-Market,163735.91,125313.64,105800.34,38,24
2024-08-01,SMB,44916.1,30420.26,25144.18,64,36
2024-09-01,Enterprise,380723.83,484928.32,351913.77,23,22
2024-09-01,Mid-Market,158091.15,112548.45,100699.41,39,25
2024-09-01,SMB,52224.97,38096.79,31764.77,73,46
2024-10-01,Enterprise,532622.14,629436.74,488902.68,26,26
2024-10-01,Mid-Market,171966.85,118314.11,100193.13,46,27
2024-10-01,SMB,54832.51,38606.46,31939.05,81,50
2024-11-01,Enterprise,548375.35,637132.9,513977.67,28,28
2024-11-01,Mid-Market,191039.38,136758.09,112229.36,50,31
2024-11-01,SMB,60671.22,41532.33,35084.18,89,57
2024-12-01,Enterprise,609788.51,711423.59,572644.57,29,29
2024-12-01,Mid-Market,232107.55,171568.28,139939.57,62,39
2024-12-01,SMB,63711.27,42862.58,34543.25,98,60
2025-01-01,Enterprise,608149.11,715143.69,565536.45,30,29
2025-01-01,Mid-Market,240681.19,179282.58,147225.86,68,45
2025-01-01,SMB,67863.47,46065.43,37337.12,109,66
2025-02-01,Enterprise,621305.37,748465.71,578474.83,31,30
2025-02-01,Mid-Market,258603.83,208100.18,163241.87,69,48
2025-02-01,SMB,77936.49,56181.71,41163.85,121,73
