spend_date,channel,campaign,spend,impressions,clicks
2024-01-01,Organic Search,Organic - SEO Content,4.65,2923,94
2024-01-02,Organic Search,Organic - SEO Content,4.65,3179,85
2024-01-03,Organic Search,Organic - SEO Content,4.65,4609,99
2024-01-04,Organic Search,Organic - SEO Content,4.65,4848,86
2024-01-05,Organic Search,Organic - SEO Content,4.65,5357,94
2024-01-06,Organic Search,Organic - SEO Content,3.35,2622,65
2024-01-07,Organic Search,Organic - SEO Content,3.35,2244,70
2024-01-08,Organic Search,Organic - SEO Content,4.65,4865,85
2024-01-09,Organic Search,Organic - SEO Content,4.65,3407,86
2024-01-10,Organic Search,Organic - SEO Content,4.65,5062,89
2024-01-11,Organic Search,Organic - SEO Content,4.65,2961,94
2024-01-12,Organic Search,Organic - SEO Content,4.65,3385,101
2024-01-13,Organic Search,Organic - SEO Content,3.35,2464,63
2024-01-14,Organic Search,Organic - SEO Content,3.35,2925,61
2024-01-15,Organic Search,Organic - SEO Content,4.65,5735,86
2024-01-16,Organic Search,Organic - SEO Content,4.65,5325,91
2024-01-17,Organic Search,Organic - SEO Content,4.65,3747,101
2024-01-18,Organic Search,Organic - SEO Content,4.65,3623,93
2024-01-19,Organic Search,Organic - SEO Content,4.65,4021,95
2024-01-20,Organic Search,Organic - SEO Content,3.35,2852,65
2024-01-21,Organic Search,Organic - SEO Content,3.35,1680,60
2024-01-22,Organic Search,Organic - SEO Content,4.65,6719,94
2024-01-23,Organic Search,Organic - SEO Content,4.65,4513,93
2024-01-24,Organic Search,Organic - SEO Content,4.65,3570,91
2024-01-25,Organic Search,Organic - SEO Content,4.65,3041,88
2024-01-26,Organic Search,Organic - SEO Content,4.65,5153,96
2024-01-27,Organic Search,Organic - SEO Content,3.35,4825,72
2024-01-28,Organic Search,Organic - SEO Content,3.35,2023,65
2024-01-29,Organic Search,Organic - SEO Content,4.65,6115,89
2024-01-30,Organic Search,Organic - SEO Content,4.65,4022,97
2024-01-31,Organic Search,Organic - SEO Content,4.65,4937,92
2024-01-01,Paid Search,Paid - Brand,17.21,521,17
2024-01-02,Paid Search,Paid - Brand,17.21,830,19
2024-01-03,Paid Search,Paid - Brand,17.21,1074,17
2024-01-04,Paid Search,Paid - Brand,17.21,1077,17
2024-01-05,Paid Search,Paid - Brand,17.21,499,16
2024-01-06,Paid Search,Paid - Brand,12.39,426,12
2024-01-07,Paid Search,Paid - Brand,12.39,785,13
2024-01-08,Paid Search,Paid - Brand,17.21,659,17
2024-01-09,Paid Search,Paid - Brand,17.21,636,18
2024-01-10,Paid Search,Paid - Brand,17.21,538,17
2024-01-11,Paid Search,Paid - Brand,17.21,627,19
2024-01-12,Paid Search,Paid - Brand,17.21,1156,17
2024-01-13,Paid Search,Paid - Brand,12.39,465,12
2024-01-14,Paid Search,Paid - Brand,12.39,689,13
2024-01-15,Paid Search,Paid - Brand,17.21,754,18
2024-01-16,Paid Search,Paid - Brand,17.21,664,16
2024-01-17,Paid Search,Paid - Brand,17.21,1051,19
2024-01-18,Paid Search,Paid - Brand,17.21,533,17
2024-01-19,Paid Search,Paid - Brand,17.21,1150,19
2024-01-20,Paid Search,Paid - Brand,12.39,411,13
2024-01-21,Paid Search,Paid - Brand,12.39,416,12
2024-01-22,Paid Search,Paid - Brand,17.21,1009,16
2024-01-23,Paid Search,Paid - Brand,17.21,967,17
2024-01-24,Paid Search,Paid - Brand,17.21,1070,17
2024-01-25,Paid Search,Paid - Brand,17.21,1194,19
2024-01-26,Paid Search,Paid - Brand,17.21,718,18
2024-01-27,Paid Search,Paid - Brand,12.39,435,12
2024-01-28,Paid Search,Paid - Brand,12.39,569,12
2024-01-29,Paid Search,Paid - Brand,17.21,917,18
2024-01-30,Paid Search,Paid - Brand,17.21,951,18
2024-01-31,Paid Search,Paid - Brand,17.21,974,16
2024-01-01,Paid Search,Paid - Generic,12.82,678,13
2024-01-02,Paid Search,Paid - Generic,12.82,636,14
2024-01-03,Paid Search,Paid - Generic,12.82,868,14
2024-01-04,Paid Search,Paid - Generic,12.82,383,13
2024-01-05,Paid Search,Paid - Generic,12.82,368,12
2024-01-06,Paid Search,Paid - Generic,9.23,483,9
2024-01-07,Paid Search,Paid - Generic,9.23,472,10
2024-01-08,Paid Search,Paid - Generic,12.82,936,13
2024-01-09,Paid Search,Paid - Generic,12.82,594,14
2024-01-10,Paid Search,Paid - Generic,12.82,833,13
2024-01-11,Paid Search,Paid - Generic,12.82,690,13
2024-01-12,Paid Search,Paid - Generic,12.82,809,13
2024-01-13,Paid Search,Paid - Generic,9.23,547,10
2024-01-14,Paid Search,Paid - Generic,9.23,319,8
2024-01-15,Paid Search,Paid - Generic,12.82,799,14
2024-01-16,Paid Search,Paid - Generic,12.82,1014,14
2024-01-17,Paid Search,Paid - Generic,12.82,643,12
2024-01-18,Paid Search,Paid - Generic,12.82,990,14
2024-01-19,Paid Search,Paid - Generic,12.82,973,14
2024-01-20,Paid Search,Paid - Generic,9.23,342,10
2024-01-21,Paid Search,Paid - Generic,9.23,560,10
2024-01-22,Paid Search,Paid - Generic,12.82,1008,14
2024-01-23,Paid Search,Paid - Generic,12.82,519,12
2024-01-24,Paid Search,Paid - Generic,12.82,786,13
2024-01-25,Paid Search,Paid - Generic,12.82,674,14
2024-01-26,Paid Search,Paid - Generic,12.82,522,12
2024-01-27,Paid Search,Paid - Generic,9.23,626,10
2024-01-28,Paid Search,Paid - Generic,9.23,327,8
2024-01-29,Paid Search,Paid - Generic,12.82,838,12
2024-01-30,Paid Search,Paid - Generic,12.82,443,12
2024-01-31,Paid Search,Paid - Generic,12.82,642,12
2024-01-01,Paid Search,Paid - Shopping,20.39,947,19
