order_item_id,order_id,product_id,quantity,unit_price,discount_amount
OI0000001,O0000001,P00188,1,166.85,0.00
OI0000002,O0000002,P00005,3,51.99,0.00
OI0000003,O0000002,P00070,1,81.65,0.00
OI0000004,O0000002,P00069,1,148.15,0.00
OI0000005,O0000002,P00069,1,148.15,2.37
OI0000006,O0000002,P00026,1,34.19,0.44
OI0000007,O0000003,P00184,1,208.78,65.64
OI0000008,O0000003,P00186,2,272.93,181.61
OI0000009,O0000004,P00163,2,39.36,8.90
OI0000010,O0000005,P00164,1,55.17,0.00
OI0000011,O0000006,P00116,2,38.00,0.00
OI0000012,O0000006,P00011,2,133.12,104.95
OI0000013,O0000006,P00074,2,128.17,0.00
OI0000014,O0000007,P00020,1,131.49,41.92
OI0000015,O0000008,P00031,1,90.94,9.69
OI0000016,O0000009,P00150,1,59.37,9.08
OI0000017,O0000009,P00096,1,448.18,0.00
OI0000018,O0000009,P00052,1,64.55,0.00
OI0000019,O0000009,P00045,1,70.92,17.45
OI0000020,O0000009,P00038,4,83.70,0.00
OI0000021,O0000010,P00019,1,65.52,0.00
OI0000022,O0000010,P00003,1,32.59,9.00
OI0000023,O0000010,P00015,1,66.55,22.24
OI0000024,O0000011,P00176,1,169.90,0.00
OI0000025,O0000011,P00120,3,97.95,93.47
OI0000026,O0000012,P00132,4,68.52,0.00
OI0000027,O0000013,P00018,1,62.01,1.86
OI0000028,O0000013,P00041,2,125.23,86.16
OI0000029,O0000014,P00102,1,243.13,133.72
OI0000030,O0000015,P00189,1,180.08,0.00
OI0000031,O0000016,P00128,3,22.27,0.00
OI0000032,O0000016,P00052,1,64.55,35.50
OI0000033,O0000017,P00014,1,87.12,0.00
OI0000034,O0000017,P00113,1,86.78,0.00
OI0000035,O0000018,P00088,1,384.21,0.00
OI0000036,O0000019,P00097,4,260.61,0.00
OI0000037,O0000020,P00189,1,180.08,0.00
OI0000038,O0000020,P00138,1,76.21,0.00
OI0000039,O0000020,P00177,2,276.02,182.89
OI0000040,O0000020,P00173,1,77.82,0.00
OI0000041,O0000020,P00161,1,61.46,0.00
OI0000042,O0000021,P00057,3,65.94,66.01
OI0000043,O0000021,P00079,1,67.74,0.00
OI0000044,O0000021,P00062,1,120.05,32.74
OI0000045,O0000021,P00075,1,51.74,0.00
OI0000046,O0000022,P00051,1,43.18,7.84
OI0000047,O0000022,P00038,1,83.70,46.04
OI0000048,O0000023,P00137,2,31.33,0.00
OI0000049,O0000023,P00111,1,166.13,0.00
OI0000050,O0000023,P00188,1,166.85,18.82
OI0000051,O0000023,P00160,1,65.82,0.00
OI0000052,O0000024,P00143,3,21.76,0.00
OI0000053,O0000025,P00092,1,209.32,0.00
OI0000054,O0000025,P00089,1,337.55,0.00
OI0000055,O0000026,P00067,3,78.15,21.36
OI0000056,O0000027,P00097,1,260.61,0.00
OI0000057,O0000028,P00170,1,216.26,84.23
OI0000058,O0000028,P00172,1,93.79,41.93
OI0000059,O0000028,P00137,1,31.33,0.00
OI0000060,O0000029,P00094,1,384.95,0.00
OI0000061,O0000029,P00108,1,119.88,48.05
OI0000062,O0000029,P00092,1,209.32,58.04
OI0000063,O0000030,P00154,1,38.78,0.00
OI0000064,O0000031,P00167,3,59.63,35.65
OI0000065,O0000031,P00167,1,59.63,0.00
OI0000066,O0000032,P00060,1,139.31,0.00
OI0000067,O0000032,P00058,2,156.81,97.22
OI0000068,O0000033,P00094,1,384.95,94.35
OI0000069,O0000033,P00023,1,49.85,0.00
OI0000070,O0000034,P00033,1,44.67,0.00
OI0000071,O0000035,P00003,1,32.59,0.00
OI0000072,O0000035,P00026,1,34.19,0.00
OI0000073,O0000035,P00098,1,126.60,0.00
OI0000074,O0000036,P00029,2,116.07,84.45
OI0000075,O0000036,P00052,2,64.55,13.83
OI0000076,O0000036,P00022,3,40.61,0.00
OI0000077,O0000037,P00096,1,448.18,0.00
OI0000078,O0000037,P00169,1,50.39,3.08
OI0000079,O0000037,P00038,1,83.70,0.00
OI0000080,O0000037,P00165,1,59.82,16.32
OI0000081,O0000037,P00094,1,384.95,0.00
OI0000082,O0000038,P00089,1,337.55,63.63
OI0000083,O0000038,P00118,1,26.40,0.00
OI0000084,O0000038,P00123,1,135.84,0.00
OI0000085,O0000039,P00026,3,34.19,0.00
OI0000086,O0000039,P00178,2,226.66,0.00
OI0000087,O0000039,P00025,3,125.94,123.92
OI0000088,O0000039,P00055,1,40.68,8.99
OI0000089,O0000039,P00178,2,226.66,0.00
OI0000090,O0000040,P00037,1,116.64,0.00
OI0000091,O0000041,P00076,3,83.39,0.00
OI0000092,O0000041,P00068,1,106.66,0.00
OI0000093,O0000042,P00082,1,477.87,0.00
OI0000094,O0000042,P00116,1,38.00,0.00
OI0000095,O0000042,P00108,1,119.88,17.20
