order_id,customer_id,order_date,order_channel,order_sequence,is_shipped,fulfilment_centre,carrier,promised_delivery_date,shipped_date,delivered_date,shipping_fee_charged,shipping_cost,payment_method,promo_code,order_status
O0000001,C000001,2024-01-03,Mobile App,1,1,FC-Central,Swiftline,2024-01-05,2024-01-03,2024-01-05,0.00,4.56,Digital Wallet,FLASH25,Delivered
O0000002,C000001,2024-04-20,Web,2,1,FC-Central,Swiftline,2024-04-23,2024-04-20,2024-04-22,0.00,9.13,Buy Now Pay Later,WELCOME10,Delivered
O0000003,C000002,2024-01-02,Web,1,1,FC-South,Metro Post,2024-01-07,2024-01-03,2024-01-08,0.00,9.62,Buy Now Pay Later,,Delivered
O0000004,C000003,2024-01-05,Store,1,0,Store Pickup,,,,,0.00,0.00,Buy Now Pay Later,SEASON20,Collected
O0000005,C000003,2024-01-28,Mobile App,2,1,FC-Central,Metro Post,2024-02-01,2024-01-29,2024-02-01,0.00,3.07,Card,WELCOME10,Delivered
O0000006,C000004,2024-01-03,Marketplace,1,1,FC-South,Metro Post,2024-01-06,2024-01-03,2024-01-06,0.00,9.58,Digital Wallet,SEASON20,Delivered
O0000007,C000004,2024-01-18,Marketplace,2,1,FC-South,Metro Post,2024-01-23,2024-01-18,2024-01-22,0.00,3.49,Buy Now Pay Later,,Delivered
O0000008,C000004,2024-03-14,Marketplace,3,1,FC-South,Swiftline,2024-03-16,2024-03-15,2024-03-16,0.00,3.95,Buy Now Pay Later,CLEAR40,Delivered
O0000009,C000004,2024-10-30,Marketplace,4,1,FC-South,Regional Freight,2024-11-03,2024-10-31,2024-11-02,0.00,5.92,Card,SAVE15,Delivered
O0000010,C000005,2024-01-05,Web,1,1,FC-North,Metro Post,2024-01-09,2024-01-06,2024-01-09,0.00,4.28,Card,SAVE15,Delivered
O0000011,C000006,2024-01-03,Marketplace,1,1,FC-Central,Regional Freight,2024-01-08,2024-01-03,2024-01-08,0.00,20.34,Digital Wallet,,Delivered
O0000012,C000007,2024-01-03,Marketplace,1,1,FC-Central,Metro Post,2024-01-06,2024-01-03,2024-01-05,0.00,10.53,Digital Wallet,,Delivered
O0000013,C000008,2024-01-05,Mobile App,1,1,FC-South,Regional Freight,2024-01-09,2024-01-07,2024-01-08,0.00,2.79,Card,SEASON20,Delivered
O0000014,C000009,2024-01-05,Store,1,0,Store Pickup,,,,,0.00,0.00,Digital Wallet,WELCOME10,Collected
O0000015,C000010,2024-01-06,Web,1,1,FC-South,Regional Freight,2024-01-09,2024-01-06,2024-01-08,0.00,5.92,Card,,Delivered
O0000016,C000011,2024-01-04,Mobile App,1,1,FC-North,Metro Post,2024-01-07,2024-01-04,2024-01-07,0.00,12.26,Digital Wallet,,Delivered
O0000017,C000012,2024-01-04,Mobile App,1,1,FC-North,Swiftline,2024-01-08,2024-01-04,2024-01-08,0.00,7.58,Buy Now Pay Later,SEASON20,Delivered
O0000018,C000012,2024-02-22,Store,2,0,Store Pickup,,,,,0.00,0.00,Card,WELCOME10,Collected
O0000019,C000012,2024-04-07,Store,3,0,Store Pickup,,,,,0.00,0.00,Card,,Collected
O0000020,C000012,2024-07-18,Web,4,1,FC-North,Swiftline,2024-07-21,2024-07-20,2024-07-21,0.00,26.69,Card,CLEAR40,Delivered
O0000021,C000013,2024-01-04,Marketplace,1,1,FC-Central,Swiftline,2024-01-06,2024-01-04,2024-01-06,0.00,9.50,Card,FLASH25,Delivered
O0000022,C000014,2024-01-07,Web,1,1,FC-North,Metro Post,2024-01-12,2024-01-07,2024-01-12,0.00,3.86,Card,CLEAR40,Delivered
O0000023,C000015,2024-01-07,Marketplace,1,1,FC-South,Swiftline,2024-01-12,2024-01-07,2024-01-12,0.00,14.38,Card,CLEAR40,Delivered
O0000024,C000016,2024-01-03,Web,1,1,FC-Central,Metro Post,2024-01-08,2024-01-03,2024-01-07,0.00,10.61,Digital Wallet,SAVE15,Delivered
O0000025,C000016,2024-02-28,Mobile App,2,1,FC-Central,Swiftline,2024-03-04,2024-02-28,2024-03-04,0.00,9.80,Gift Card,,Delivered
O0000026,C000016,2024-04-21,Mobile App,3,1,FC-Central,Regional Freight,2024-04-26,2024-04-22,2024-04-25,0.00,4.51,Card,SAVE15,Delivered
O0000027,C000017,2024-01-06,Marketplace,1,1,FC-South,Regional Freight,2024-01-09,2024-01-07,2024-01-12,0.00,3.43,Card,SAVE15,Delivered
O0000028,C000018,2024-01-05,Web,1,1,FC-Central,Metro Post,2024-01-09,2024-01-06,2024-01-09,0.00,6.99,Card,SEASON20,Delivered
O0000029,C000019,2024-01-07,Marketplace,1,1,FC-Central,Metro Post,2024-01-09,2024-01-07,2024-01-08,0.00,11.84,Card,CLEAR40,Delivered
O0000030,C000020,2024-01-04,Marketplace,1,1,FC-Central,Swiftline,2024-01-07,2024-01-04,2024-01-07,4.99,4.03,Card,,Delivered
O0000031,C000020,2024-02-06,Marketplace,2,1,FC-Central,Swiftline,2024-02-10,2024-02-06,2024-02-09,0.00,5.03,Digital Wallet,,Delivered
O0000032,C000021,2024-01-06,Mobile App,1,1,FC-South,Swiftline,2024-01-08,2024-01-07,2024-01-08,0.00,8.34,Digital Wallet,,Delivered
O0000033,C000022,2024-01-04,Web,1,1,FC-Central,Swiftline,2024-01-08,2024-01-05,2024-01-07,0.00,8.21,Digital Wallet,FLASH25,Delivered
O0000034,C000022,2024-02-20,Web,2,1,FC-Central,Regional Freight,2024-02-25,2024-02-20,2024-02-24,4.99,2.27,Digital Wallet,,Delivered
O0000035,C000022,2024-04-18,Web,3,1,FC-Central,Metro Post,2024-04-21,2024-04-18,2024-04-20,0.00,5.54,Gift Card,,Delivered
O0000036,C000022,2024-06-11,Mobile App,4,1,FC-Central,Metro Post,2024-06-15,2024-06-11,2024-06-14,0.00,6.27,Card,FLASH25,Delivered
O0000037,C000023,2024-01-06,Web,1,1,FC-North,Swiftline,2024-01-11,2024-01-07,2024-01-11,0.00,10.03,Gift Card,SEASON20,Delivered
O0000038,C000024,2024-01-04,Web,1,1,FC-South,Regional Freight,2024-01-08,2024-01-04,2024-01-12,0.00,9.83,Card,WELCOME10,Delivered
O0000039,C000025,2024-01-05,Web,1,1,FC-Central,Metro Post,2024-01-07,2024-01-06,2024-01-09,0.00,28.21,Gift Card,CLEAR40,Delivered
O0000040,C000025,2024-02-07,Mobile App,2,1,FC-Central,Metro Post,2024-02-09,2024-02-07,2024-02-09,0.00,3.35,Digital Wallet,SEASON20,Delivered
O0000041,C000026,2024-01-06,Web,1,1,FC-North,Metro Post,2024-01-09,2024-01-07,2024-01-08,0.00,7.90,Card,CLEAR40,Delivered
O0000042,C000027,2024-01-08,Mobile App,1,1,FC-South,Regional Freight,2024-01-10,2024-01-09,2024-01-10,0.00,9.63,Digital Wallet,CLEAR40,Delivered
O0000043,C000028,2024-01-04,Marketplace,1,1,FC-North,Swiftline,2024-01-08,2024-01-04,2024-01-07,0.00,7.40,Card,CLEAR40,Delivered
