customer_id,month,licensed_seats,active_users,sessions,feature_adoption_score,support_tickets,csat_score
CUS-00001,2023-01-01,37,18,207,41.1,1,3.41
CUS-00001,2023-02-01,37,16,247,47.7,3,3.76
CUS-00001,2023-03-01,37,14,136,50.0,3,3.33
CUS-00001,2023-11-01,24,15,449,51.0,1,3.85
CUS-00001,2023-12-01,24,16,247,60.6,1,3.7
CUS-00002,2023-01-01,44,28,220,77.9,1,4.14
CUS-00002,2023-02-01,44,28,682,65.3,2,4.36
CUS-00003,2023-01-01,13,7,179,64.0,2,3.68
CUS-00003,2023-02-01,13,6,92,59.2,0,3.94
CUS-00003,2023-03-01,13,6,90,58.4,2,3.46
CUS-00004,2023-01-01,4,2,15,56.0,3,3.82
CUS-00004,2023-02-01,4,2,33,55.3,5,3.31
CUS-00004,2023-03-01,5,2,18,48.1,2,3.95
CUS-00004,2023-04-01,5,2,35,65.5,2,3.62
CUS-00004,2023-05-01,5,2,23,42.3,1,3.48
CUS-00004,2023-06-01,5,2,36,52.1,2,2.98
CUS-00004,2023-07-01,5,2,30,50.6,5,3.58
CUS-00004,2023-08-01,5,1,10,49.2,3,3.4
CUS-00004,2023-09-01,5,1,18,42.9,3,3.28
CUS-00004,2023-10-01,5,1,12,52.9,2,3.6
CUS-00004,2023-11-01,5,1,7,24.4,2,3.01
CUS-00004,2023-12-01,5,1,5,34.4,2,3.15
CUS-00004,2024-01-01,5,1,5,37.7,3,3.34
CUS-00004,2024-02-01,5,1,12,46.0,3,3.67
CUS-00005,2023-01-01,2,1,22,59.4,4,3.71
CUS-00006,2023-01-01,14,8,110,52.6,3,3.8
CUS-00006,2023-02-01,14,8,132,58.6,2,3.42
CUS-00006,2023-03-01,14,7,132,75.7,1,3.59
CUS-00006,2023-04-01,14,7,199,62.6,4,3.48
CUS-00006,2023-05-01,14,7,163,56.4,2,4.05
CUS-00006,2023-06-01,14,6,118,51.6,1,4.14
CUS-00006,2023-07-01,14,7,84,58.4,2,3.89
CUS-00006,2023-08-01,14,6,53,49.6,4,4.09
CUS-00006,2023-09-01,14,6,70,58.7,4,3.52
CUS-00006,2023-10-01,14,6,119,66.8,3,3.98
CUS-00006,2023-11-01,14,6,54,61.1,1,3.65
CUS-00006,2023-12-01,14,5,94,56.6,1,4.05
CUS-00006,2024-01-01,8,3,25,52.0,3,3.04
CUS-00006,2024-02-01,8,3,27,34.1,1,3.58
CUS-00006,2024-03-01,8,2,36,57.1,1,3.4
CUS-00006,2024-04-01,8,2,33,58.2,0,3.71
CUS-00006,2024-05-01,8,3,37,58.0,3,3.81
CUS-00006,2024-06-01,8,3,59,56.5,1,3.85
CUS-00006,2024-07-01,8,3,32,43.3,3,3.27
CUS-00006,2024-08-01,8,3,45,58.6,0,4.24
CUS-00006,2024-09-01,8,3,80,53.4,0,3.93
CUS-00006,2024-10-01,8,4,52,48.3,1,3.82
