product_id,sku,product_name,category,subcategory,brand,unit_cost,list_price,weight_kg
P00001,APP-DRE-00001,Latitude 54 Dresse 971,Apparel,Dresses,Latitude 54,14.15,38.97,0.30
P00002,APP-KNI-00002,Brightpath Knitwear 832,Apparel,Knitwear,Brightpath,38.86,81.68,0.49
P00003,APP-OUT-00003,Northvale Outerwear 848,Apparel,Outerwear,Northvale,13.69,32.59,0.26
P00004,APP-KNI-00004,Puresel Knitwear 222,Apparel,Knitwear,Puresel,13.98,33.94,0.85
P00005,APP-KNI-00005,Ellery & Co Knitwear 901,Apparel,Knitwear,Ellery & Co,21.88,51.99,1.04
P00006,APP-DEN-00006,Puresel Denim 110,Apparel,Denim,Puresel,11.88,31.44,0.35
P00007,APP-DEN-00007,Northvale Denim 759,Apparel,Denim,Northvale,47.22,116.94,0.35
P00008,APP-TOP-00008,Brightpath Top 270,Apparel,Tops,Brightpath,29.93,83.50,0.74
P00009,APP-OUT-00009,Mokkan Outerwear 128,Apparel,Outerwear,Mokkan,31.16,73.72,0.39
P00010,APP-DEN-00010,Puresel Denim 126,Apparel,Denim,Puresel,12.88,28.00,0.86
P00011,APP-OUT-00011,Northvale Outerwear 281,Apparel,Outerwear,Northvale,51.20,133.12,0.40
P00012,APP-KNI-00012,Mokkan Knitwear 988,Apparel,Knitwear,Mokkan,40.19,88.93,0.43
P00013,APP-DRE-00013,Ellery & Co Dresse 232,Apparel,Dresses,Ellery & Co,24.64,66.51,0.75
P00014,APP-DRE-00014,Corda Dresse 406,Apparel,Dresses,Corda,37.28,87.12,0.51
P00015,APP-TOP-00015,Corda Top 345,Apparel,Tops,Corda,26.67,66.55,1.01
P00016,APP-KNI-00016,Brightpath Knitwear 611,Apparel,Knitwear,Brightpath,21.73,54.64,0.87
P00017,APP-DRE-00017,Corda Dresse 741,Apparel,Dresses,Corda,11.87,27.43,0.50
P00018,APP-DEN-00018,Latitude 54 Denim 934,Apparel,Denim,Latitude 54,26.33,62.01,0.46
P00019,APP-TOP-00019,Brightpath Top 709,Apparel,Tops,Brightpath,29.36,65.52,0.84
P00020,APP-DEN-00020,Ellery & Co Denim 918,Apparel,Denim,Ellery & Co,46.92,131.49,0.98
P00021,APP-DEN-00021,Northvale Denim 222,Apparel,Denim,Northvale,21.16,52.72,1.19
P00022,APP-KNI-00022,Northvale Knitwear 727,Apparel,Knitwear,Northvale,14.69,40.61,0.68
P00023,APP-TOP-00023,Latitude 54 Top 130,Apparel,Tops,Latitude 54,17.74,49.85,0.94
P00024,APP-OUT-00024,Brightpath Outerwear 533,Apparel,Outerwear,Brightpath,15.58,35.49,0.60
P00025,APP-OUT-00025,Corda Outerwear 345,Apparel,Outerwear,Corda,48.90,125.94,0.95
P00026,APP-DRE-00026,Corda Dresse 936,Apparel,Dresses,Corda,17.70,34.19,0.43
P00027,APP-OUT-00027,Mokkan Outerwear 563,Apparel,Outerwear,Mokkan,13.32,31.13,0.57
P00028,APP-DRE-00028,Mokkan Dresse 558,Apparel,Dresses,Mokkan,11.74,31.99,0.43
P00029,APP-KNI-00029,Puresel Knitwear 529,Apparel,Knitwear,Puresel,46.27,116.07,0.57
P00030,APP-DEN-00030,Latitude 54 Denim 950,Apparel,Denim,Latitude 54,42.48,99.97,0.22
P00031,APP-DRE-00031,Brightpath Dresse 998,Apparel,Dresses,Brightpath,37.49,90.94,0.41
P00032,APP-OUT-00032,Mokkan Outerwear 271,Apparel,Outerwear,Mokkan,12.40,34.46,0.92
P00033,APP-DEN-00033,Northvale Denim 655,Apparel,Denim,Northvale,17.87,44.67,0.31
P00034,APP-DRE-00034,Latitude 54 Dresse 112,Apparel,Dresses,Latitude 54,21.62,41.79,0.29
P00035,APP-OUT-00035,Northvale Outerwear 214,Apparel,Outerwear,Northvale,64.46,131.59,1.15
P00036,APP-DRE-00036,Latitude 54 Dresse 222,Apparel,Dresses,Latitude 54,23.99,67.23,0.66
P00037,APP-TOP-00037,Brightpath Top 779,Apparel,Tops,Brightpath,50.61,116.64,0.78
P00038,APP-DRE-00038,Ellery & Co Dresse 637,Apparel,Dresses,Ellery & Co,37.94,83.70,0.83
P00039,APP-OUT-00039,Latitude 54 Outerwear 583,Apparel,Outerwear,Latitude 54,11.38,25.56,0.73
P00040,APP-TOP-00040,Puresel Top 225,Apparel,Tops,Puresel,40.97,113.30,0.43
P00041,APP-OUT-00041,Latitude 54 Outerwear 930,Apparel,Outerwear,Latitude 54,59.43,125.23,0.40
P00042,APP-KNI-00042,Latitude 54 Knitwear 934,Apparel,Knitwear,Latitude 54,40.02,98.30,0.28
P00043,APP-DEN-00043,Puresel Denim 158,Apparel,Denim,Puresel,37.81,107.20,0.73
P00044,APP-DEN-00044,Corda Denim 701,Apparel,Denim,Corda,6.66,20.90,0.23
P00045,APP-KNI-00045,Puresel Knitwear 971,Apparel,Knitwear,Puresel,29.43,70.92,0.76
P00046,APP-DRE-00046,Brightpath Dresse 911,Apparel,Dresses,Brightpath,51.08,117.17,0.38
P00047,APP-DRE-00047,Puresel Dresse 535,Apparel,Dresses,Puresel,45.25,95.89,0.49
P00048,APP-DRE-00048,Latitude 54 Dresse 450,Apparel,Dresses,Latitude 54,55.51,122.50,1.17
P00049,APP-TOP-00049,Brightpath Top 937,Apparel,Tops,Brightpath,18.90,45.89,0.62
P00050,APP-KNI-00050,Brightpath Knitwear 823,Apparel,Knitwear,Brightpath,49.87,116.54,0.50
P00051,APP-DEN-00051,Corda Denim 672,Apparel,Denim,Corda,17.54,43.18,0.68
P00052,APP-DRE-00052,Corda Dresse 902,Apparel,Dresses,Corda,24.03,64.55,0.89
P00053,APP-TOP-00053,Latitude 54 Top 833,Apparel,Tops,Latitude 54,38.03,103.71,0.54
P00054,FOO-SAN-00054,Mokkan Sandal 922,Footwear,Sandals,Mokkan,29.51,59.52,1.72
P00055,FOO-TRA-00055,Ellery & Co Trainer 722,Footwear,Trainers,Ellery & Co,19.14,40.68,0.92
P00056,FOO-SAN-00056,Puresel Sandal 949,Footwear,Sandals,Puresel,44.87,105.15,1.56
P00057,FOO-TRA-00057,Puresel Trainer 483,Footwear,Trainers,Puresel,26.18,65.94,1.29
P00058,FOO-TRA-00058,Brightpath Trainer 178,Footwear,Trainers,Brightpath,74.05,156.81,1.89
P00059,FOO-TRA-00059,Latitude 54 Trainer 379,Footwear,Trainers,Latitude 54,70.04,129.93,1.44
P00060,FOO-FOR-00060,Corda Formal 419,Footwear,Formal,Corda,65.94,139.31,1.80
P00061,FOO-TRA-00061,Northvale Trainer 705,Footwear,Trainers,Northvale,19.15,44.28,1.54
P00062,FOO-FOR-00062,Latitude 54 Formal 809,Footwear,Formal,Latitude 54,51.15,120.05,0.93
P00063,FOO-FOR-00063,Northvale Formal 673,Footwear,Formal,Northvale,16.67,36.53,1.07
P00064,FOO-BOO-00064,Mokkan Boot 827,Footwear,Boots,Mokkan,42.64,93.30,1.34
P00065,FOO-SAN-00065,Ellery & Co Sandal 691,Footwear,Sandals,Ellery & Co,53.89,94.68,1.09
P00066,FOO-SAN-00066,Puresel Sandal 860,Footwear,Sandals,Puresel,48.93,111.95,0.95
P00067,FOO-SAN-00067,Corda Sandal 606,Footwear,Sandals,Corda,31.42,78.15,1.46
P00068,FOO-SAN-00068,Corda Sandal 503,Footwear,Sandals,Corda,41.31,106.66,1.61
P00069,FOO-SAN-00069,Brightpath Sandal 890,Footwear,Sandals,Brightpath,60.21,148.15,0.82
P00070,FOO-BOO-00070,Latitude 54 Boot 196,Footwear,Boots,Latitude 54,40.35,81.65,1.32
P00071,FOO-BOO-00071,Puresel Boot 370,Footwear,Boots,Puresel,55.96,122.76,1.04
P00072,FOO-SAN-00072,Brightpath Sandal 472,Footwear,Sandals,Brightpath,23.58,58.95,1.57
P00073,FOO-BOO-00073,Brightpath Boot 379,Footwear,Boots,Brightpath,38.42,79.76,1.91
P00074,FOO-TRA-00074,Puresel Trainer 609,Footwear,Trainers,Puresel,47.79,128.17,1.01
P00075,FOO-FOR-00075,Latitude 54 Formal 286,Footwear,Formal,Latitude 54,26.42,51.74,1.17
P00076,FOO-TRA-00076,Puresel Trainer 695,Footwear,Trainers,Puresel,34.28,83.39,1.89
P00077,FOO-BOO-00077,Ellery & Co Boot 761,Footwear,Boots,Ellery & Co,40.92,105.21,1.09
P00078,FOO-SAN-00078,Corda Sandal 900,Footwear,Sandals,Corda,61.02,128.93,1.08
P00079,FOO-SAN-00079,Mokkan Sandal 690,Footwear,Sandals,Mokkan,44.77,67.74,0.97
P00080,FOO-SAN-00080,Ellery & Co Sandal 743,Footwear,Sandals,Ellery & Co,23.30,49.77,1.10
P00081,ELE-WEA-00081,Mokkan Wearable 608,Electronics,Wearables,Mokkan,365.93,425.20,5.73
P00082,ELE-AUD-00082,Puresel Audio 806,Electronics,Audio,Puresel,378.57,477.87,4.35
P00083,ELE-AUD-00083,Mokkan Audio 201,Electronics,Audio,Mokkan,84.78,103.49,3.24
P00084,ELE-WEA-00084,Corda Wearable 636,Electronics,Wearables,Corda,171.99,208.44,2.93
P00085,ELE-WEA-00085,Ellery & Co Wearable 752,Electronics,Wearables,Ellery & Co,146.43,166.79,2.93
P00086,ELE-AUD-00086,Brightpath Audio 149,Electronics,Audio,Brightpath,211.02,263.09,4.92
P00087,ELE-AUD-00087,Brightpath Audio 927,Electronics,Audio,Brightpath,390.14,437.19,2.57
P00088,ELE-AUD-00088,Mokkan Audio 658,Electronics,Audio,Mokkan,299.27,384.21,0.93
P00089,ELE-AUD-00089,Corda Audio 419,Electronics,Audio,Corda,251.96,337.55,2.30
P00090,ELE-AUD-00090,Corda Audio 849,Electronics,Audio,Corda,243.16,290.67,5.96
P00091,ELE-SMA-00091,Mokkan Small Appliance 709,Electronics,Small Appliances,Mokkan,351.42,437.76,2.11
P00092,ELE-ACC-00092,Puresel Accessorie 389,Electronics,Accessories,Puresel,181.55,209.32,4.99
P00093,ELE-AUD-00093,Puresel Audio 620,Electronics,Audio,Puresel,141.92,161.57,0.75
P00094,ELE-ACC-00094,Latitude 54 Accessorie 164,Electronics,Accessories,Latitude 54,316.81,384.95,4.48
P00095,ELE-SMA-00095,Latitude 54 Small Appliance 239,Electronics,Small Appliances,Latitude 54,361.66,396.85,2.53
P00096,ELE-ACC-00096,Mokkan Accessorie 176,Electronics,Accessories,Mokkan,404.98,448.18,1.62
P00097,ELE-AUD-00097,Corda Audio 601,Electronics,Audio,Corda,221.27,260.61,2.41
P00098,ELE-AUD-00098,Brightpath Audio 944,Electronics,Audio,Brightpath,105.53,126.60,3.23
P00099,ELE-SMA-00099,Latitude 54 Small Appliance 701,Electronics,Small Appliances,Latitude 54,361.90,472.93,5.97
P00100,ELE-ACC-00100,Latitude 54 Accessorie 885,Electronics,Accessories,Latitude 54,331.49,386.68,3.33
P00101,ELE-SMA-00101,Corda Small Appliance 324,Electronics,Small Appliances,Corda,97.57,112.24,0.66
P00102,ELE-SMA-00102,Corda Small Appliance 945,Electronics,Small Appliances,Corda,215.90,243.13,4.80
P00103,ELE-SMA-00103,Latitude 54 Small Appliance 785,Electronics,Small Appliances,Latitude 54,90.01,111.90,5.50
P00104,ELE-AUD-00104,Brightpath Audio 376,Electronics,Audio,Brightpath,158.84,175.32,5.65
P00105,ELE-WEA-00105,Northvale Wearable 938,Electronics,Wearables,Northvale,326.10,393.89,5.09
P00106,ELE-ACC-00106,Ellery & Co Accessorie 979,Electronics,Accessories,Ellery & Co,91.61,104.67,3.85
P00107,ELE-WEA-00107,Corda Wearable 155,Electronics,Wearables,Corda,96.86,109.03,1.62
P00108,ELE-AUD-00108,Ellery & Co Audio 543,Electronics,Audio,Ellery & Co,100.11,119.88,3.45
P00109,ELE-AUD-00109,Corda Audio 482,Electronics,Audio,Corda,160.85,186.86,0.52
P00110,ELE-SMA-00110,Puresel Small Appliance 411,Electronics,Small Appliances,Puresel,351.38,411.22,5.40
P00111,HOM-STO-00111,Brightpath Storage 900,Home & Kitchen,Storage,Brightpath,96.17,166.13,5.75
P00112,HOM-BED-00112,Puresel Bedding 825,Home & Kitchen,Bedding,Puresel,107.79,172.61,2.57
P00113,HOM-STO-00113,Mokkan Storage 819,Home & Kitchen,Storage,Mokkan,50.86,86.78,4.17
