subscription_id,customer_id,plan_id,billing_period,seats,discount_pct,start_date,end_date,end_reason,churn_type,churn_reason
SUB-00001-00,CUS-00001,PLN-GROWTH,monthly,37,0.0,2023-01-01,2023-04-01,churn,voluntary,Poor support experience
SUB-00001-01,CUS-00001,PLN-GROWTH,monthly,24,0.0,2023-11-01,2024-01-01,churn,involuntary,Payment failure
SUB-00002-00,CUS-00002,PLN-GROWTH,monthly,44,0.05,2023-01-01,2023-03-01,churn,voluntary,Company acquired or closed
SUB-00003-00,CUS-00003,PLN-GROWTH,monthly,13,0.0,2023-01-01,2023-04-01,churn,voluntary,Price / budget cuts
SUB-00004-00,CUS-00004,PLN-STARTER,monthly,4,0.007,2023-01-01,2023-03-01,plan_change,,
SUB-00004-01,CUS-00004,PLN-STARTER,monthly,5,0.007,2023-03-01,2024-03-01,churn,voluntary,Poor support experience
SUB-00005-00,CUS-00005,PLN-STARTER,monthly,2,0.004,2023-01-01,2023-02-01,churn,voluntary,Low adoption
SUB-00006-00,CUS-00006,PLN-GROWTH,monthly,14,0.0,2023-01-01,2024-01-01,plan_change,,
SUB-00006-01,CUS-00006,PLN-STARTER,monthly,8,0.0,2024-01-01,,,,
SUB-00007-00,CUS-00007,PLN-SCALE,monthly,158,0.012,2023-01-01,2023-05-01,plan_change,,
SUB-00007-01,CUS-00007,PLN-SCALE,monthly,128,0.012,2023-05-01,2023-08-01,plan_change,,
SUB-00007-02,CUS-00007,PLN-SCALE,monthly,166,0.012,2023-08-01,2025-01-01,plan_change,,
SUB-00007-03,CUS-00007,PLN-SCALE,monthly,148,0.012,2025-01-01,2025-06-01,plan_change,,
SUB-00007-04,CUS-00007,PLN-SCALE,monthly,169,0.012,2025-06-01,2025-08-01,plan_change,,
SUB-00007-05,CUS-00007,PLN-SCALE,monthly,136,0.012,2025-08-01,,,,
SUB-00008-00,CUS-00008,PLN-GROWTH,monthly,11,0.029,2023-01-01,2023-05-01,plan_change,,
SUB-00008-01,CUS-00008,PLN-GROWTH,monthly,15,0.029,2023-05-01,2024-02-01,churn,voluntary,Price / budget cuts
SUB-00008-02,CUS-00008,PLN-GROWTH,monthly,12,0.029,2024-10-01,2025-09-01,plan_change,,
SUB-00008-03,CUS-00008,PLN-GROWTH,monthly,13,0.029,2025-09-01,2026-02-01,plan_change,,
SUB-00008-04,CUS-00008,PLN-GROWTH,monthly,17,0.029,2026-02-01,,,,
SUB-00009-00,CUS-00009,PLN-STARTER,monthly,3,0.0,2023-01-01,2023-03-01,plan_change,,
SUB-00009-01,CUS-00009,PLN-STARTER,monthly,4,0.0,2023-03-01,2023-07-01,churn,voluntary,Poor support experience
SUB-00010-00,CUS-00010,PLN-GROWTH,annual,49,0.135,2023-01-01,2023-09-01,plan_change,,
SUB-00010-01,CUS-00010,PLN-GROWTH,annual,70,0.135,2023-09-01,2024-01-01,plan_change,,
SUB-00010-02,CUS-00010,PLN-GROWTH,annual,42,0.135,2024-01-01,2025-03-01,plan_change,,
SUB-00010-03,CUS-00010,PLN-GROWTH,annual,53,0.135,2025-03-01,2025-11-01,plan_change,,
SUB-00010-04,CUS-00010,PLN-GROWTH,annual,31,0.135,2025-11-01,2026-08-01,plan_change,,
SUB-00010-05,CUS-00010,PLN-GROWTH,annual,41,0.135,2026-08-01,,,,
SUB-00011-00,CUS-00011,PLN-GROWTH,annual,39,0.08,2023-01-01,2023-03-01,plan_change,,
SUB-00011-01,CUS-00011,PLN-GROWTH,annual,52,0.08,2023-03-01,2024-05-01,plan_change,,
SUB-00011-02,CUS-00011,PLN-GROWTH,annual,56,0.08,2024-05-01,2025-01-01,plan_change,,
SUB-00011-03,CUS-00011,PLN-GROWTH,annual,66,0.08,2025-01-01,2025-08-01,plan_change,,
SUB-00011-04,CUS-00011,PLN-GROWTH,annual,42,0.08,2025-08-01,2026-01-01,churn,voluntary,Price / budget cuts
SUB-00011-05,CUS-00011,PLN-GROWTH,annual,33,0.08,2026-04-01,,,,
SUB-00012-00,CUS-00012,PLN-SCALE,annual,93,0.178,2023-01-01,2023-08-01,plan_change,,
SUB-00012-01,CUS-00012,PLN-SCALE,annual,115,0.178,2023-08-01,2023-09-01,plan_change,,
SUB-00012-02,CUS-00012,PLN-SCALE,annual,162,0.178,2023-09-01,2025-01-01,plan_change,,
SUB-00012-03,CUS-00012,PLN-SCALE,annual,197,0.178,2025-01-01,2026-02-01,plan_change,,
SUB-00012-04,CUS-00012,PLN-SCALE,annual,113,0.178,2026-02-01,,,,
SUB-00013-00,CUS-00013,PLN-ENTERPRISE,annual,506,0.251,2023-01-01,2023-03-01,plan_change,,
SUB-00013-01,CUS-00013,PLN-ENTERPRISE,annual,718,0.251,2023-03-01,2023-10-01,plan_change,,
SUB-00013-02,CUS-00013,PLN-ENTERPRISE,annual,845,0.251,2023-10-01,2024-05-01,plan_change,,
SUB-00013-03,CUS-00013,PLN-ENTERPRISE,annual,905,0.251,2024-05-01,2024-08-01,plan_change,,
SUB-00013-04,CUS-00013,PLN-ENTERPRISE,annual,1119,0.251,2024-08-01,2025-06-01,plan_change,,
SUB-00013-05,CUS-00013,PLN-ENTERPRISE,annual,1255,0.251,2025-06-01,2025-08-01,plan_change,,
SUB-00013-06,CUS-00013,PLN-ENTERPRISE,annual,1440,0.251,2025-08-01,2025-10-01,plan_change,,
SUB-00013-07,CUS-00013,PLN-ENTERPRISE,annual,1796,0.251,2025-10-01,2025-12-01,plan_change,,
SUB-00013-08,CUS-00013,PLN-ENTERPRISE,annual,2214,0.251,2025-12-01,2026-01-01,plan_change,,
SUB-00013-09,CUS-00013,PLN-ENTERPRISE,annual,1250,0.251,2026-01-01,2026-03-01,plan_change,,
SUB-00013-10,CUS-00013,PLN-ENTERPRISE,annual,979,0.251,2026-03-01,,,,
SUB-00014-00,CUS-00014,PLN-GROWTH,monthly,18,0.061,2023-01-01,2023-05-01,churn,voluntary,Low adoption
SUB-00015-00,CUS-00015,PLN-GROWTH,monthly,29,0.005,2023-01-01,2023-03-01,plan_change,,
SUB-00015-01,CUS-00015,PLN-GROWTH,monthly,34,0.005,2023-03-01,2024-02-01,plan_change,,
SUB-00015-02,CUS-00015,PLN-GROWTH,monthly,43,0.005,2024-02-01,2024-06-01,plan_change,,
SUB-00015-03,CUS-00015,PLN-GROWTH,monthly,49,0.005,2024-06-01,2025-01-01,plan_change,,
SUB-00015-04,CUS-00015,PLN-GROWTH,monthly,41,0.005,2025-01-01,2025-06-01,plan_change,,
SUB-00015-05,CUS-00015,PLN-GROWTH,monthly,57,0.005,2025-06-01,2025-07-01,plan_change,,
SUB-00015-06,CUS-00015,PLN-GROWTH,monthly,79,0.005,2025-07-01,2026-07-01,plan_change,,
SUB-00015-07,CUS-00015,PLN-SCALE,monthly,114,0.005,2026-07-01,2026-08-01,plan_change,,
SUB-00015-08,CUS-00015,PLN-SCALE,monthly,127,0.005,2026-08-01,,,,
SUB-00016-00,CUS-00016,PLN-STARTER,monthly,3,0.038,2023-02-01,2023-06-01,churn,voluntary,Missing functionality
SUB-00017-00,CUS-00017,PLN-SCALE,annual,45,0.211,2023-02-01,2023-05-01,plan_change,,
SUB-00017-01,CUS-00017,PLN-SCALE,annual,64,0.211,2023-05-01,2023-06-01,churn,voluntary,Missing functionality
SUB-00018-00,CUS-00018,PLN-SCALE,monthly,58,0.164,2023-02-01,2023-12-01,plan_change,,
SUB-00018-01,CUS-00018,PLN-SCALE,monthly,77,0.164,2023-12-01,2024-02-01,plan_change,,
SUB-00018-02,CUS-00018,PLN-SCALE,monthly,57,0.164,2024-02-01,2025-08-01,plan_change,,
SUB-00018-03,CUS-00018,PLN-SCALE,monthly,63,0.164,2025-08-01,2025-09-01,plan_change,,
SUB-00018-04,CUS-00018,PLN-SCALE,monthly,80,0.164,2025-09-01,2025-12-01,plan_change,,
SUB-00018-05,CUS-00018,PLN-SCALE,monthly,87,0.164,2025-12-01,2026-02-01,plan_change,,
SUB-00018-06,CUS-00018,PLN-SCALE,monthly,122,0.164,2026-02-01,2026-05-01,plan_change,,
SUB-00018-07,CUS-00018,PLN-SCALE,monthly,146,0.164,2026-05-01,,,,
SUB-00019-00,CUS-00019,PLN-SCALE,monthly,50,0.046,2023-02-01,2023-04-01,churn,voluntary,Switched to competitor
SUB-00020-00,CUS-00020,PLN-SCALE,monthly,78,0.095,2023-02-01,2023-06-01,plan_change,,
SUB-00020-01,CUS-00020,PLN-SCALE,monthly,66,0.095,2023-06-01,2024-12-01,plan_change,,
SUB-00020-02,CUS-00020,PLN-SCALE,monthly,72,0.095,2024-12-01,2025-05-01,plan_change,,
SUB-00020-03,CUS-00020,PLN-SCALE,monthly,48,0.095,2025-05-01,2025-08-01,plan_change,,
SUB-00020-04,CUS-00020,PLN-GROWTH,monthly,36,0.095,2025-08-01,2025-09-01,churn,voluntary,Switched to competitor
SUB-00021-00,CUS-00021,PLN-SCALE,monthly,55,0.103,2023-02-01,2023-07-01,plan_change,,
SUB-00021-01,CUS-00021,PLN-SCALE,monthly,72,0.103,2023-07-01,2023-09-01,plan_change,,
SUB-00021-02,CUS-00021,PLN-SCALE,monthly,57,0.103,2023-09-01,2024-04-01,plan_change,,
SUB-00021-03,CUS-00021,PLN-SCALE,monthly,82,0.103,2024-04-01,2024-10-01,plan_change,,
SUB-00021-04,CUS-00021,PLN-SCALE,monthly,100,0.103,2024-10-01,2025-01-01,plan_change,,
SUB-00021-05,CUS-00021,PLN-SCALE,monthly,130,0.103,2025-01-01,2025-11-01,plan_change,,
SUB-00021-06,CUS-00021,PLN-SCALE,monthly,167,0.103,2025-11-01,2026-02-01,plan_change,,
SUB-00021-07,CUS-00021,PLN-SCALE,monthly,202,0.103,2026-02-01,2026-06-01,plan_change,,
SUB-00021-08,CUS-00021,PLN-SCALE,monthly,233,0.103,2026-06-01,,,,
SUB-00022-00,CUS-00022,PLN-GROWTH,monthly,18,0.079,2023-02-01,2023-04-01,plan_change,,
SUB-00022-01,CUS-00022,PLN-GROWTH,monthly,24,0.079,2023-04-01,2023-06-01,plan_change,,
